type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2012,72.8,313110012,2011-11-07,200,72.80000000000001,Arizona,Valparaiso,Horz,94.8,94.7,87.9,45.2,24.7,22.2,46.2,50.4,Bryce Drew,-5.48158,0.821611,Valparaiso,21,52,5,20,17,24,8,24,32,15,4,1,18,23,64,100.3,52.1,20.6,20,66.7,P12,Sean Miller,Arizona,23,48,4,11,23,32,6,28,34,12,10,2,15,21,73,100.3,86.1,85.2,5.48158,0.558901
nc,A,2012,70.4,313110344,2011-11-07,200,70.4375,Mississippi St.,Eastern Kentucky,OVC,95.8,97.2,93.7,47.7,14.2,17.9,9.2,45.9,Jeff Neubauer,-7.14832,0.833484,Eastern Kentucky,26,65,10,33,4,6,7,22,29,11,6,1,10,18,66,107.9,55.2,19.9,33.3,32.8,SEC,Rick Stansbury,Mississippi St.,28,58,8,22,12,19,11,32,43,16,9,6,14,9,76,98.9,96.6,56.6,7.14832,0.181106
nc,A,2012,65.4,313112599,2011-11-07,200,65.3875,St. John's,William & Mary,CAA,97.9,103.5,90.2,57.3,32.1,23.1,8.3,34.6,Tony Shaver,-0.890701,0.661918,William & Mary,22,48,11,32,4,4,6,29,35,13,1,3,21,19,59,113.2,52.5,6.1,23.7,42.4,BE,Steve Lavin,St. John's,29,59,4,15,12,25,9,20,29,13,12,3,4,12,74,98.7,101.9,40.7,0.890701,0.156576
nc,A,2012,68.2,313130012,2011-11-09,200,68.25,Arizona,Duquesne,A10,94.6,91.6,86.4,36.2,14.7,28.9,44.8,59.2,Ron Everhart,-3.02295,0.821611,Duquesne,19,58,4,25,17,26,13,19,32,9,8,1,10,26,59,98.2,50,29.3,36.7,77.3,P12,Sean Miller,Arizona,19,44,6,17,23,34,11,32,43,13,4,3,20,19,67,96.2,84.9,80.8,3.02295,0.569346
nc,A,2012,69.3,313130245,2011-11-09,200,69.2875,Texas A&M,Liberty,BSth,91,118.4,85.2,37.3,14.4,25,23.8,4.6,Dale Layer,-15.5809,0.720366,Liberty,21,63,5,21,12,15,11,18,29,16,4,0,10,21,59,116.9,66.3,18.8,25,42.3,B12,Billy Kennedy,Texas A&M,34,52,1,7,12,22,6,33,39,21,4,4,13,17,81,107.5,86.3,92.6,15.5809,0.190272
nc,A,2012,68.8,313130344,2011-11-09,200,68.8375,Akron,Mississippi St.,MAC,100.6,76.4,98.8,50,21.8,32.4,12.9,95.9,Keith Dambrot,4.43132,0.833484,Akron,30,62,2,10,6,8,11,23,34,6,8,6,15,22,68,84.3,36.4,27.6,43.9,45.5,SEC,Rick Stansbury,Mississippi St.,19,55,2,13,18,25,18,23,41,5,4,5,19,12,58,87.2,94.8,27.5,-4.43132,0.641194
nc,A,2012,70.5,313132599,2011-11-09,200,70.5375,St. John's,Lehigh,Pat,110,102.4,103.5,47.7,22.7,43.6,20,69.5,Brett Reed,7.20058,0.661918,Lehigh,27,65,8,26,11,13,17,19,36,14,5,1,16,31,73,110.6,57.1,19.8,24,104.8,BE,Steve Lavin,St. John's,23,42,2,9,30,44,6,22,28,7,11,4,14,17,78,108.3,104.2,60.9,-7.20058,0.644581
nc,A,2012,72.9,313150002,2011-11-11,200,72.875,Auburn,McNeese St.,Slnd,92.2,117.7,85.1,38.7,23.3,27,50.9,5.7,Dave Simmons,-14.1454,0.687203,McNeese St.,19,53,3,18,21,27,10,18,28,7,11,4,17,17,62,115.3,58.1,17.8,41.9,37.1,SEC,Tony Barbee,Auburn,33,62,6,18,12,23,13,27,40,16,9,1,13,22,84,109.8,87.5,93.1,14.1454,0.2705
nc,A,2012,80,313150008,2011-11-11,200,79.975,Arkansas,USC Upstate,ASun,79.7,99.1,78.8,40.4,23.8,34.9,22.1,7.6,Eddie Payne,-13.4675,0.701206,USC Upstate,25,68,5,19,8,15,15,17,32,14,11,3,19,27,63,103.8,54.3,28.8,43.3,46.6,SEC,Mike Anderson,Arkansas,30,58,3,9,20,27,13,28,41,16,10,5,23,18,83,106.1,79.5,96.5,13.4675,0.490265
nc,A,2012,76,313150009,2011-11-11,200,75.9875,Arizona St.,Montana St.,BSky,92.1,105.2,94.8,42.2,22.4,35.4,40.6,17.8,Brad Huse,-6.24092,0.437515,Montana St.,22,64,10,30,18,26,17,19,36,8,13,0,17,25,72,102.6,51,29,38.7,71.4,P12,Herb Sendek,Arizona St.,22,49,6,18,28,35,12,31,43,12,12,3,22,19,78,96.6,100.3,39.4,6.24092,0.153362
