type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2011,95,303120120,2010-11-08,200,94.9625,Maryland,Seattle,ind,94.1,97.7,80,38.3,28.4,35.3,28.6,39.5,Cameron Dollar,-7.255,0.887964,Seattle,28,77,3,16,17,22,18,16,34,11,18,1,27,31,76,110.6,58.1,30.5,51.5,66.1,ACC,Gary Williams,Maryland,35,62,2,8,33,41,17,33,50,23,9,9,29,20,105,105.8,94.6,78.3,7.255,0.229261
nc,A,2011,74.4,303120221,2010-11-08,200,74.425,Pittsburgh,Rhode Island,A10,115.5,91.9,100.8,51.7,22.8,27,26.7,93.2,Jim Baron,-0.325377,0.960322,Rhode Island,24,60,14,32,13,16,10,22,32,16,7,6,17,25,75,111.5,47.7,18.8,45,46.9,BE,Jamie Dixon,Pittsburgh,29,64,3,15,22,30,18,27,45,19,8,6,14,18,83,111.9,104.9,67.8,0.325377,0.543842
nc,A,2011,79.3,303120251,2010-11-08,200,79.35,Texas,Navy,Pat,83.1,86.8,65.5,33.3,20.2,17,28.6,37.8,Billy Lange,-8.85392,0.963318,Navy,19,63,4,23,10,18,8,22,30,8,5,5,16,24,52,104.6,54.2,18.9,33.3,57.6,B12,Rick Barnes,Texas,30,59,4,17,19,34,11,39,50,16,5,5,15,17,83,98.3,80.7,90.6,8.85392,0.182609
nc,A,2011,75.2,303120356,2010-11-08,200,75.1875,Illinois,UC Irvine,BW,93.3,96.2,86.5,40.5,18.6,26.8,34.9,41.3,Russ Turner,-15.5237,0.948133,UC Irvine,22,63,7,20,14,22,11,26,37,12,7,1,14,21,65,105.1,56.9,18.6,25.7,39.7,B10,Bruce Weber,Illinois,29,58,8,24,13,23,9,30,39,17,9,8,14,22,79,103.6,84,91.8,15.5237,0.299379
nc,A,2011,76.8,303140120,2010-11-10,200,76.7875,Maryland,College of Charleston,SC,107.8,89.4,96.4,51.8,28.7,34.4,33.9,89.6,Bobby Cremins,2.25167,0.887964,College of Charleston,25,56,8,20,16,19,11,25,36,12,8,8,22,19,74,97.7,53,23.4,37.5,27.3,ACC,Gary Williams,Maryland,34,66,2,7,5,18,15,21,36,17,11,3,18,18,75,95.9,88.9,70.5,-2.25167,0.723162
nc,A,2011,66.4,303140221,2010-11-10,200,66.3875,Pittsburgh,Illinois Chicago,Horz,99.5,116.9,81.3,40.5,18.1,24.3,15.5,13.6,Howard Moore,-14.669,0.960322,Illinois Chicago,22,58,3,10,7,9,9,16,25,9,0,3,12,18,54,146.1,66.4,16.6,51.5,31.2,BE,Jamie Dixon,Pittsburgh,37,64,11,21,12,20,17,28,45,27,5,7,11,13,97,135.2,96.6,97.9,14.669,0.236018
nc,A,2011,81.5,303140251,2010-11-10,200,81.475,Texas,Louisiana Tech,WAC,87.6,92.4,71.2,35.2,27,32.6,31.2,34.9,Kerry Rupp,-11.8899,0.963318,Louisiana Tech,21,64,3,14,13,20,15,26,41,4,6,5,22,21,58,109.2,48.6,17.2,38.1,29.7,B12,Rick Barnes,Texas,34,74,4,16,17,22,16,31,47,18,12,7,14,21,89,105.4,83.9,93.2,11.8899,0.219293
nc,A,2011,70.9,303140356,2010-11-10,200,70.9375,Illinois,Toledo,MAC,71.9,104.3,63.4,38.9,32.4,17.6,42.2,1.4,Tod Kowalczyk,-23.8814,0.948133,Toledo,16,45,3,12,10,19,6,17,23,9,6,0,23,14,45,118.4,61.7,19.7,37,9.4,B10,Bruce Weber,Illinois,37,64,5,18,5,6,10,28,38,21,10,7,14,18,84,105.9,72.7,98.7,23.8814,0.0541462
nc,A,2011,67.9,303160002,2010-11-12,225,76.4125,UNC Asheville,Auburn,BSth,91.5,97.4,91.6,40.5,19.6,27.9,56.9,32.5,Eddie Biedenbach,-6.68708,0.424148,UNC Asheville,20,58,7,21,23,33,12,26,38,14,10,5,15,24,70,90.3,42.4,26.2,42.2,57.6,SEC,Tony Barbee,Auburn,22,59,6,16,19,34,19,31,50,8,8,8,20,29,69,94,93.6,51.2,6.68708,0.406905
nc,A,2011,80.1,303160026,2010-11-12,200,80.0875,UCLA,Cal St. Northridge,BW,68.9,97.2,62.4,30.6,33.7,37.5,33.9,1.9,Bobby Braswell,-21.0834,0.883659,Cal St. Northridge,18,62,2,12,12,21,18,20,38,6,9,2,27,24,50,103.6,61.8,27.5,31,62.7,P10,Ben Howland,UCLA,29,51,5,17,20,32,9,30,39,19,17,12,22,21,83,100.6,64.9,99.4,21.0834,0.282615
nc,A,2011,72.9,303160038,2010-11-12,200,72.9,Colorado,Idaho St.,BSky,110.4,103.8,109.7,60.7,23.3,25,26.8,67.1,Joe O'Brien,-4.2877,0.849889,Idaho St.,31,56,6,12,12,15,7,22,29,13,3,2,17,22,80,120.7,53.4,9.6,26.7,56.9,B12,Tad Boyle,Colorado,28,58,6,15,26,33,8,21,29,17,10,1,7,17,88,109.7,116.6,33.1,4.2877,0.150984
nc,A,2011,68.1,303160041,2010-11-12,200,68.05,Connecticut,Stony Brook,AE,91.3,97.1,76.4,31,16.2,26.5,25.4,32.8,Steve Pikiell,-8.9089,0.945444,Stony Brook,17,63,5,17,13,16,13,20,33,7,5,1,11,23,52,116.1,47.1,19.1,53.5,29.4,BE,Jim Calhoun,Connecticut,28,68,8,23,15,20,23,36,59,13,6,6,13,23,79,114.7,90.5,93.9,8.9089,0.302054
