type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2015,69.6,Air ForceArmy41957,2014-11-14,200,69.6," ""Army"""," ""Air Force""",MWC,105.5,129.1,112.1,54.8,25.9,42.9,24.2,8.9,Dave Pilipovich,-10.1502,0.345342," ""Air Force""",31,62,6,19,10,15,15,17,32,14,8,6,18,21,78,120.7,59.8,21.6,50,27.9,Pat,Zach Spiker," ""Army""",30,61,13,25,11,17,17,20,37,18,6,4,15,21,84,114,106.4,69.1,10.1502,0.293129
nc,A,2015,62.7,Alabama A&MDayton41957,2014-11-14,200,62.7," ""Dayton"""," ""Alabama A&M""",SWAC,91.1,113.8,82.9,39.8,20.7,22.9,36.7,7.2,Willie Hayes,-14.3339,0.852787," ""Alabama A&M""",16,49,7,19,13,18,8,19,27,10,3,3,13,22,52,121.2,54.9,17.5,40.6,56.9,A10,Archie Miller," ""Dayton""",24,51,8,20,20,29,13,27,40,17,6,2,11,19,76,106.8,92.8,83.5,14.3339,0.0638912
nc,A,2015,68.7,Alcorn St.California41957,2014-11-14,200,68.7," ""California"""," ""Alcorn St.""",SWAC,90.1,128.6,83,34.2,14.6,31,49.1,1.6,Luther Riley,-18.6336,0.725681," ""Alcorn St.""",18,57,3,15,18,28,13,21,34,4,3,3,10,15,57,132.5,59.2,11.6,41.7,18.3,P12,Cuonzo Martin," ""California""",37,71,10,24,7,13,15,29,44,26,6,7,8,21,91,111.6,95.3,85.9,18.6336,0.0372181
nc,A,2015,55.1,AmericanTemple41957,2014-11-14,200,55.1," ""Temple"""," ""American""",Pat,69.7,74.8,67.2,34.6,25.4,12,30.8,30.7,Mike Brennan,-7.8719,0.847837," ""American""",12,39,3,23,10,12,3,22,25,10,6,5,14,17,37,72.6,28.1,27.2,43.6,37.5,Amer,Fran Dunphy," ""Temple""",11,48,5,19,13,18,17,22,39,7,6,3,15,15,40,75.4,64.6,85.5,7.8719,0.319829
nc,A,2015,72.7,Arkansas Pine BluffHawaii41957,2014-11-14,200,72.7," ""Hawaii"""," ""Arkansas Pine Bluff""",SWAC,90.7,105.7,78.4,40.6,22,26.3,43.4,14.6,George Ivory,-5.01041,0.734729," ""Arkansas Pine Bluff""",19,53,5,19,14,23,10,18,28,9,11,3,16,20,57,116.9,52.2,23.4,50,29.9,BW,Benjy Taylor," ""Hawaii""",31,67,8,24,15,20,18,28,46,20,10,3,17,19,85,101.3,98.7,57.5,5.01041,0.0771805
nc,A,2015,68.1,Ball St.Utah41957,2014-11-14,200,68.1," ""Utah"""," ""Ball St.""",MAC,125.9,114,105.7,54.5,22,29,23.6,75.7,James Whitford,-7.75873,0.963951," ""Ball St.""",25,55,10,22,12,13,9,13,22,10,5,4,15,30,72,132.2,65.3,20.6,50,81.6,P12,Larry Krystkowiak," ""Utah""",29,49,6,9,26,40,13,22,35,14,11,5,14,18,90,122.9,113.1,72.3,7.75873,0.233273
nc,A,2015,73.8,BelmontWright St.41957,2014-11-14,200,73.8," ""Wright St."""," ""Belmont""",OVC,96.6,101.5,94.9,50,28.5,35.5,51,36.2,Rick Byrd,1.83116,0.381428," ""Belmont""",24,51,3,15,19,26,11,26,37,5,7,2,21,24,70,98.9,44.2,19,36.6,53.3,Horz,Billy Donlon," ""Wright St.""",24,60,5,23,20,32,15,20,35,10,6,4,14,23,73,91.8,91.8,49.7,-1.83116,0.475914
nc,A,2015,64.9,BinghamtonNotre Dame41957,2014-11-14,200,64.9," ""Notre Dame"""," ""Binghamton""",AE,68.5,97.3,60.1,29.6,29.3,25.6,26.5,1.7,Tommy Dempsey,-18.8774,0.956805," ""Binghamton""",13,49,3,17,10,13,10,25,35,4,0,2,19,18,39,126.3,62.1,10.8,24.2,31,ACC,Mike Brey," ""Notre Dame""",32,58,8,22,10,18,8,29,37,16,14,3,7,18,82,111.8,74,99.1,18.8774,0.0854004
nc,N,2015,73.4,Boise St.San Diego41957,2014-11-14,200,73.4," ""Boise St."""," ""San Diego""",MWC,116.6,103.6,110.4,53.1,17.7,29.4,89.8,79.5,Leon Rice,1.56513,0.679231," ""Boise St.""",23,49,6,17,29,44,10,26,36,11,0,3,13,30,81,102.2,45,19.1,29.7,88,WCC,Bill Grier," ""San Diego""",20,50,5,19,30,44,11,24,35,9,4,5,14,33,75,110.1,101.7,71.2,-1.56513,0.819529
nc,A,2015,65,BryantConnecticut41957,2014-11-14,200,65," ""Connecticut"""," ""Bryant""",NEC,92,92.4,81.5,40.2,15.4,15,21.4,48.7,Tim O'Shea,-0.865685,0.774253," ""Bryant""",19,56,7,21,8,12,6,25,31,7,4,2,10,15,53,101.5,51.9,15.4,16.7,20.4,Amer,Kevin Ollie," ""Connecticut""",25,54,6,19,10,11,5,34,39,12,5,6,10,14,66,89.6,87.8,55.9,0.865685,0.260268
