type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2022,70,Abilene ChristianUtah11-9,2021-11-09,200,70,Utah,Abilene Christian,WAC,81.6,94.3,80,42.1,17.1,19.5,29.8,16.1,Brette Tanner,-7.76402,0.686495,Abilene Christian,22,57,4,21,8,17,8,21,29,11,9,6,12,24,56,100,44.4,28.6,51.2,37.1,P12,Craig Smith,Utah,24,62,7,23,15,23,22,33,55,12,5,3,20,22,70,101,79.8,93.7,7.76402,0.566446
nc,A,2022,61.2,AkronOhio St.11-9,2021-11-09,200,61.15,Ohio St.,Akron,MAC,112.3,96.9,107.9,49.1,18,40,20.7,84.5,John Groce,-2.24042,0.89327,Akron,25,58,7,22,9,12,14,20,34,5,4,2,11,19,66,109.6,46.7,18,45.9,26.7,B10,Chris Holtmann,Ohio St.,26,60,4,14,11,16,17,21,38,11,5,5,11,15,67,110,104.9,63.4,2.24042,0.530829
nc,A,2022,79.7,Alabama St.Western Kentucky11-9,2021-11-09,200,79.7375,Western Kentucky,Alabama St.,SWAC,98,91.8,92.8,56,28.8,25.8,19,68.1,Mo Williams,5.28625,0.676522,Alabama St.,28,58,9,22,9,11,8,29,37,14,5,5,23,27,74,99.1,48.4,21.3,32.6,46.9,CUSA,Rick Stansbury,Western Kentucky,28,64,6,19,17,30,14,23,37,13,9,4,17,13,79,87.1,103.9,11.6,-5.28625,0.118259
nc,A,2022,69.1,Alcorn St.Washington St.11-9,2021-11-09,200,69.1125,Washington St.,Alcorn St.,SWAC,108.5,114.9,96.9,41.7,17.4,28.9,35,33.9,Landon Bussie,-10.2005,0.876599,Alcorn St.,23,60,4,17,17,21,11,16,27,7,5,3,12,28,67,123,52.6,20.3,54.3,51.7,P12,Kyle Smith,Washington St.,25,58,11,36,24,30,19,27,46,16,5,4,14,20,85,118.9,103.6,83,10.2005,0.260636
nc,A,2022,65.3,Appalachian St.Iona11-9,2021-11-09,200,65.2875,Iona,Appalachian St.,SB,90.7,89.2,81.2,37.5,16.8,31,28.3,54.9,Dustin Kearns,0.17155,0.774315,Appalachian St.,21,60,3,22,8,17,13,24,37,10,4,1,11,22,53,99.6,52,18.4,20,40.8,MAAC,Rick Pitino,Iona,24,49,3,15,14,20,6,29,35,16,3,9,12,21,65,95.8,88.9,70.4,-0.17155,0.456795
nc,A,2022,76.9,Arkansas Pine BluffCreighton11-9,2021-11-09,200,76.9125,Creighton,Arkansas Pine Bluff,SWAC,118.4,107.8,100.1,44.4,13,27.7,20.8,74.6,George Ivory,1.66414,0.856035,Arkansas Pine Bluff,27,72,10,35,13,15,13,20,33,9,9,3,10,12,77,117,63.8,24.7,37.5,18.5,BE,Greg McDermott,Creighton,38,65,7,25,7,12,12,34,46,22,8,7,19,17,90,94.3,111.8,12.4,-1.66414,0.0655529
nc,A,2022,70.9,Ball St.Georgia Southern11-9,2021-11-09,200,70.94999999999999,Georgia Southern,Ball St.,MAC,105.7,117.1,100.1,53.5,24,31.6,36.8,23.6,James Whitford,0.311345,0.388583,Ball St.,25,57,11,30,10,21,12,23,35,13,8,0,17,19,71,115.6,58.8,16.9,30.3,40.4,SB,Brian Burg,Georgia Southern,30,57,7,21,15,23,10,26,36,15,12,5,12,18,82,103.9,106.9,41.9,-0.311345,0.259276
nc,A,2022,66.8,BellarminePurdue11-9,2021-11-09,200,66.7875,Purdue,Bellarmine,ASun,110.9,116.1,100.3,50.8,15,20.6,13.6,37.1,Doug Davenport,-11.7959,0.944621,Bellarmine,24,59,12,35,7,8,7,15,22,15,5,1,10,20,67,143.7,64.3,19.5,50,51.8,B10,Matt Painter,Purdue,28,56,16,36,24,29,15,27,42,21,7,3,13,13,96,129.1,100.1,94.9,11.7959,0.391446
nc,A,2022,74.7,BelmontOhio11-9,2021-11-09,200,74.65,Ohio,Belmont,OVC,111.4,120.1,107.2,54.2,17.4,19.2,26.7,29.8,Casey Alexander,-5.29005,0.62279,Belmont,28,60,9,26,15,16,5,26,31,20,4,1,13,16,80,123.2,60.3,10.7,23.5,17.6,MAC,Jeff Boals,Ohio,33,68,16,37,10,12,8,21,29,17,7,4,8,11,92,125.3,105.4,87.9,5.29005,0.651809
nc,A,2022,66.9,Bethune CookmanSouth Florida11-9,2021-11-09,200,66.88749999999999,South Florida,Bethune Cookman,SWAC,91.6,119.9,80.7,41.5,16.4,16.7,10.2,4.3,Reggie Theus,-6.60169,0.415148,Bethune Cookman,22,59,5,23,5,6,6,25,31,12,5,4,11,22,54,112.1,54.6,10.5,16.7,42.6,Amer,Brian Gregory,South Florida,28,54,3,13,16,23,5,30,35,15,6,3,7,9,75,99,94.3,63.7,6.60169,0.100198
