type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2019,71.6,Alabama A&MSouth Florida11-6,2018-11-06,200,71.6,South Florida,Alabama A&M,SWAC,98.4,110.3,88,51,32.1,31.2,26.9,21.1,Dylan Howart,-7.75928,0.73994,Alabama A&M,22,52,9,25,10,14,10,16,26,18,11,0,23,24,63,111.7,65.1,27.9,38.5,34,Amer,Brian Gregory,South Florida,30,53,9,21,11,18,10,22,32,20,11,4,20,15,80,102.9,107.4,37.8,7.75928,0.0542592
nc,A,2019,71,Alabama St.Iowa St.11-6,2018-11-06,200,71.0375,Iowa St.,Alabama St.,SWAC,83.7,93.7,74.6,44.5,28.2,23.7,18.2,21.5,Lewis Jackson,-11.5528,0.9302,Alabama St.,20,55,9,26,4,10,9,23,32,11,4,3,20,17,53,111.2,55.2,19.7,36.1,10.4,B12,Steve Prohm,Iowa St.,32,67,10,26,5,7,13,29,42,20,12,5,14,14,79,99.2,86.4,83.1,11.5528,0.0914091
nc,A,2019,67.4,Alcorn St.Tulsa11-6,2018-11-06,200,67.45,Tulsa,Alcorn St.,SWAC,92.1,101.2,83,48,28.2,21.9,24.5,25.4,Montez Robinson,-3.93184,0.715231,Alcorn St.,19,49,9,26,9,12,7,23,30,8,10,3,19,24,56,108.2,54.1,19.3,28.1,65.3,Amer,Frank Haith,Tulsa,24,49,5,19,20,32,9,25,34,12,10,4,13,14,73,94.3,102.5,27.7,3.93184,0.049394
nc,A,2019,69.6,Arkansas Pine BluffSan Diego St.11-6,2018-11-06,200,69.55000000000001,San Diego St.,Arkansas Pine Bluff,SWAC,95,107.3,86.3,42.9,25.9,28.6,25,19.7,George Ivory,-7.41098,0.721161,Arkansas Pine Bluff,20,56,8,28,12,14,10,27,37,9,9,2,18,22,60,109.3,53.6,17.3,27,39.3,MWC,Brian Dutcher,San Diego St.,24,56,12,27,16,22,10,25,35,18,9,2,12,14,76,99.3,97.6,55.2,7.41098,0.104836
nc,A,2019,68.4,Boston UniversityNortheastern11-6,2018-11-06,200,68.42500000000001,Boston University,Northeastern,Pat,112.9,102.9,112.5,54.2,16.1,37.1,37.3,74.4,Joe Jones,-2.58573,0.738266,Boston University,29,59,6,16,13,22,13,25,38,10,7,1,11,21,77,108.1,50,14.6,24.2,42.9,CAA,Bill Coen,Northeastern,25,56,6,25,18,24,8,22,30,12,5,1,10,20,74,102.8,111.8,27.4,2.58573,0.279896
nc,A,2019,77.6,BryantRhode Island11-6,2018-11-06,200,77.63749999999999,Rhode Island,Bryant,NEC,89.2,119.2,81.1,38.2,19.3,30.2,38.2,3.4,Jared Grasso,-14.1399,0.674367,Bryant,23,68,6,34,11,26,16,26,42,9,3,3,15,19,63,124.9,57.6,12.9,39.5,31.9,A10,David Cox,Rhode Island,35,72,13,27,14,23,17,37,54,21,7,8,10,21,97,108,90.3,88.7,14.1399,0.118651
nc,A,2019,79.3,BYUNevada11-6,2018-11-06,200,79.275,Nevada,BYU,WCC,100.5,94.9,88.3,42,10.1,19.6,27.5,65.8,Dave Rose,-3.16638,0.894359,BYU,26,69,6,31,12,19,9,35,44,17,4,4,8,27,70,108.5,43.9,10.1,23.9,59.1,MWC,Eric Musselman,Nevada,25,66,8,28,28,39,11,37,48,19,4,4,8,20,86,103.8,87.8,87.4,3.16638,0.61115
nc,A,2019,76.9,Cal St. FullertonArizona St.11-6,2018-11-06,250,96.125,Arizona St.,Cal St. Fullerton,BW,106.4,98.4,97.8,50.7,17.7,15.6,35.1,71.1,Dedrique Taylor,-1.93189,0.821337,Cal St. Fullerton,34,74,7,24,19,26,7,35,42,7,7,3,17,36,94,106.1,48.7,17.7,36.4,56.4,P12,Bobby Hurley,Arizona St.,33,78,10,26,26,44,20,38,58,11,3,2,17,26,102,104.4,107,43,1.93189,0.286946
nc,A,2019,70.5,Central ArkansasMissouri11-6,2018-11-06,200,70.4875,Missouri,Central Arkansas,Slnd,84.2,93.2,78,41,18.4,17.1,13.1,23.6,Russ Pennell,-10.1955,0.8388,Central Arkansas,20,61,10,27,5,8,7,31,38,10,6,3,13,16,55,96.5,48.4,15.6,26.2,20.3,SEC,Cuonzo Martin,Missouri,27,64,8,26,6,13,11,34,45,13,6,2,11,15,68,90.3,81.3,77,10.1955,0.165508
nc,A,2019,70.5,Central ConnecticutHartford11-6,2018-11-06,200,70.525,Central Connecticut,Hartford,NEC,97.1,95.7,106.3,49.2,19.9,40.6,32.8,54.3,Donyell Marshall,-3.8457,0.486507,Central Connecticut,29,61,2,7,15,20,13,25,38,12,4,7,14,21,75,96.4,50,24.1,34.2,31.6,AE,John Gallagher,Hartford,24,57,9,25,11,18,13,19,32,11,6,5,17,21,68,91.9,112.6,8.8,3.8457,0.10821
