type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2008,86.1,273090235,2007-11-05,200,86.11250000000001," ""Memphis"""," ""Tennessee Martin""",OVC,100.7,99.8,82.5,37.7,22.1,35.1,28.6,52.7,Bret Campbell,NA,0.979148," ""Tennessee Martin""",24,77,10,37,13,22,20,27,47,16,5,2,19,22,71,118.4,51.2,11.6,43.8,34.9,CUSA,John Calipari," ""Memphis""",37,83,11,35,17,29,21,37,58,23,9,11,10,21,102,103.5,83.7,92,NA,0.21486
nc,N,2008,64.8,273090311,2007-11-05,200,64.85," ""Richmond"""," ""Maine""",AE,67.7,69.1,64.8,43.3,44.7,46.2,11.1,44.1,Ted Woodward,NA,0.561157," ""Maine""",19,45,1,11,3,5,12,28,40,9,9,1,29,12,42,67.8,37.3,27.8,20,13.7,A10,Chris Mooney," ""Richmond""",17,51,4,21,6,7,7,14,21,9,13,6,18,10,44,63.9,73.6,16.5,NA,0.10903
nc,A,2008,61.8,273100096,2007-11-06,200,61.787499999999994," ""Kentucky"""," ""Central Arkansas""",Slnd,72.6,99.7,64.7,23,29.1,36.6,42,2.5,Rand Chappell,NA,0.840126," ""Central Arkansas""",10,50,3,22,17,21,15,14,29,5,5,4,18,18,40,108.4,50.9,25.9,56.2,29.1,SEC,Billy Gillispie," ""Kentucky""",26,55,4,10,11,16,18,26,44,11,10,3,16,20,67,102.8,75.7,97.1,NA,0.142353
nc,A,2008,73.4,273100235,2007-11-06,200,73.45," ""Memphis"""," ""Richmond""",A10,103.9,92.2,85.8,44.4,28.6,37.5,19,79.9,Chris Mooney,NA,0.979148," ""Richmond""",24,63,8,22,7,12,15,19,34,9,11,1,21,27,63,108.9,57.8,24.5,38.7,62.7,CUSA,John Calipari," ""Memphis""",25,51,9,25,21,32,12,25,37,15,13,10,18,18,80,110.9,90,91.6,NA,0.480969
nc,N,2008,72.6,273100311,2007-11-06,200,72.625," ""Tennessee Martin"""," ""Maine""",OVC,85.5,97.1,90.9,47.4,19.3,16.7,25.9,18.9,Bret Campbell,NA,0.10903," ""Tennessee Martin""",23,58,9,33,11,15,6,24,30,14,10,2,14,17,66,85.4,42.7,28.9,42.9,24.2,AE,Ted Woodward," ""Maine""",23,62,7,20,9,15,18,30,48,13,7,4,21,16,62,77.1,88.7,16.5,NA,0.274113
nc,N,2008,75.8,273102010,2007-11-06,200,75.775," ""Gardner Webb"""," ""Alabama A&M""",SWAC,72.1,91.3,72.6,38.8,35.6,35.3,53.1,6.2,Vann Pettaway,NA,0.410021," ""Alabama A&M""",17,49,4,18,17,26,12,23,35,9,4,8,27,24,55,91.1,39.8,27.7,46.5,54.2,ASun,Rick Scruggs," ""Gardner Webb""",21,59,5,17,22,32,20,22,42,15,12,3,21,22,69,88.5,85.7,59,NA,0.121397
nc,A,2008,69.5,273110041,2007-11-07,200,69.475," ""Connecticut"""," ""Morgan St.""",MEAC,101.7,86.2,93.6,43,20.2,40.8,12.7,86.9,Todd Bozeman,NA,0.924886," ""Morgan St.""",25,71,11,22,4,9,20,19,39,11,11,2,14,24,65,99.3,45,25.9,42.4,66,BE,Jim Calhoun," ""Connecticut""",21,50,3,15,24,33,14,29,43,14,9,10,18,13,69,100.2,99.5,52,NA,0.368389
nc,A,2008,73.6,273110096,2007-11-07,200,73.6125," ""Gardner Webb"""," ""Kentucky""",ASun,122.5,87.7,114.1,61.2,23.1,25,63.3,97.9,Rick Scruggs,NA,0.840126," ""Gardner Webb""",26,49,8,17,24,31,6,31,37,16,3,1,17,20,84,92.4,40.3,16.3,26.2,32.3,SEC,Billy Gillispie," ""Kentucky""",22,62,6,19,18,20,11,18,29,8,7,3,12,22,68,90.4,116.1,5.4,NA,0.334946
nc,N,2008,77.7,273112010,2007-11-07,200,77.73750000000001," ""Central Arkansas"""," ""Alabama A&M""",SWAC,75.1,98.2,75.9,40.8,20.6,17.8,31.7,4.3,Vann Pettaway,NA,0.186356," ""Alabama A&M""",21,60,7,16,10,19,8,22,30,11,7,10,16,20,59,88.8,43.3,32.2,43.6,36.7,Slnd,Rand Chappell," ""Central Arkansas""",23,60,6,15,17,22,17,37,54,8,6,9,25,21,69,86.5,89.3,41.1,NA,0.121397
nc,A,2008,80.6,273120041,2007-11-08,200,80.5625," ""Connecticut"""," ""Buffalo""",MAC,78.3,87.3,70.8,34.1,19.9,22,26.1,22.3,Reggie Witherspoon,NA,0.924886," ""Buffalo""",23,69,1,7,10,18,11,25,36,10,6,1,16,28,57,101.8,49.1,22.3,37.5,63.8,BE,Jim Calhoun," ""Connecticut""",27,58,3,8,25,37,15,39,54,14,7,15,18,16,82,98.8,75,96,NA,0.357359
