type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2020,77.3,Alabama A&MTennessee St.11-5,2019-11-05,200,77.3125,Tennessee St.,Alabama A&M,SWAC,85.7,142.7,85.4,42.4,18.1,27.1,28.8,0.3,Dylan Howart,-23.8855,0.382275,Alabama A&M,24,66,8,25,10,19,13,18,31,7,6,0,14,17,66,137.1,79.8,20.7,28,25.8,OVC,Brian Collins,Tennessee St.,41,62,17,34,7,16,7,35,42,25,6,7,16,21,106,127.1,102.3,92.4,23.8855,0.053004
nc,A,2020,69.3,Alabama St.Gonzaga11-5,2019-11-05,200,69.2625,Gonzaga,Alabama St.,SWAC,106.1,110.6,92.4,58.2,30.3,20.7,24.5,38.3,Lewis Jackson,-12.4011,0.960359,Alabama St.,24,49,9,16,7,12,6,19,25,14,3,1,21,24,64,137.2,66.1,11.6,36.7,45.8,WCC,Mark Few,Gonzaga,34,59,10,20,17,27,11,23,34,24,11,3,8,17,95,129.8,116.3,78,12.4011,0.0833107
nc,A,2020,74.6,Alcorn St.DePaul11-5,2019-11-05,200,74.55,DePaul,Alcorn St.,SWAC,74.9,98.5,72.4,28,22.8,36.7,31.8,4.2,Montez Robinson,-16.8093,0.759847,Alcorn St.,17,66,3,24,17,21,18,25,43,6,9,1,17,14,54,96.6,56,22.8,24.2,25.9,BE,Dave Leitao,DePaul,29,58,7,20,7,15,8,31,39,12,11,5,17,21,72,89.7,73.7,90.5,16.8093,0.115437
nc,A,2020,74.9,AmericanSiena11-5,2019-11-05,200,74.925,Siena,American,Pat,103.1,123.2,106.8,57.4,16,15.2,51.9,11.4,Mike Brennan,-14.0297,0.634396,American,28,54,6,18,18,28,5,21,26,7,5,1,12,17,80,128.1,60.4,17.4,38.2,26.9,MAAC,Carmen Marciariello,Siena,35,67,11,21,15,18,13,28,41,17,4,0,13,23,96,128,107.2,88.5,14.0297,0.362628
nc,A,2020,77.2,Appalachian St.Michigan11-5,2019-11-05,200,77.23750000000001,Michigan,Appalachian St.,SB,94.7,97.4,91.9,49.1,24.6,25.8,38.6,42,Dustin Kearns,-16.5192,0.925893,Appalachian St.,26,57,4,13,15,22,8,25,33,9,9,0,19,23,71,102.3,54.9,22,30.6,31.1,B10,Juwan Howard,Michigan,29,61,9,25,12,19,11,23,34,15,8,6,17,18,79,108.4,89.7,89.8,16.5192,0.338185
nc,A,2020,70.8,Arkansas Pine BluffSouth Florida11-5,2019-11-05,200,70.825,South Florida,Arkansas Pine Bluff,SWAC,69.6,93.2,57.9,33.3,29.7,15.6,42.2,3.3,George Ivory,-8.41249,0.722879,Arkansas Pine Bluff,13,45,4,12,11,19,5,25,30,5,4,3,21,21,41,98.8,43.5,18.4,32.4,64.8,Amer,Brian Gregory,South Florida,20,54,7,21,23,35,12,27,39,11,9,5,13,22,70,89.9,82.5,73,8.41249,0.0346643
nc,A,2020,79.7,ArmyVillanova11-5,2019-11-05,200,79.675,Villanova,Army,Pat,78.6,104.8,67.8,36.7,21.3,13,15.6,3.5,Jimmy Allen,-20.3193,0.927518,Army,20,64,7,30,7,10,6,20,26,11,9,3,17,16,54,121.7,60.9,21.3,41.2,23.2,BE,Jay Wright,Villanova,36,69,12,30,13,16,14,40,54,22,9,4,17,14,97,111.2,74.4,99,20.3193,0.22457
nc,A,2020,65.9,BinghamtonCornell11-5,2019-11-05,200,65.9375,Cornell,Binghamton,AE,94,123.9,97.1,49.1,18.2,22.2,17.2,4,Tommy Dempsey,-8.27847,0.351493,Binghamton,24,58,9,25,7,10,8,21,29,12,4,4,12,17,64,127.4,57.3,9.1,32.3,24.2,Ivy,Brian Earl,Cornell,32,62,7,21,13,15,10,28,38,20,10,5,6,15,84,107.5,104.5,58,8.27847,0.0959442
nc,A,2020,76.7,BradleySaint Joseph's11-5,2019-11-05,200,76.6625,Saint Joseph's,Bradley,MVC,102.4,108.7,105.7,44.8,18.3,48.9,19.5,33.6,Brian Wardle,1.90417,0.379541,Bradley,30,77,9,20,12,15,23,23,46,17,7,6,14,28,81,112.2,46.8,20.9,39.5,51.6,A10,Billy Lange,Saint Joseph's,26,62,6,31,28,32,15,24,39,17,7,5,16,14,86,110.3,104.9,63.9,-1.90417,0.593998
nc,A,2020,70.3,BrownBryant11-5,2019-11-05,200,70.35,Brown,Bryant,Ivy,104.6,103.8,103.8,48.1,21.3,35.1,58.5,52.2,Mike Martin,3.16125,0.375559,Brown,23,53,5,17,22,31,13,29,42,9,7,2,15,18,73,100.9,46.8,17.1,31,33.9,NEC,Jared Grasso,Bryant,25,62,8,28,13,21,13,24,37,14,9,0,12,24,71,100.8,112.7,21.6,-3.16125,0.333907
