type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2016,69,Air ForceSouthern Illinois11-13,2015-11-13,200,68.9875," ""Southern Illinois"""," ""Air Force""",MWC,113.5,107,108.7,47.1,17.4,32.3,64.7,66.4,Dave Pilipovich,3.36081,0.643444," ""Air Force""",22,51,4,20,27,33,10,26,36,10,2,1,12,21,75,111.6,46.3,8.7,39.5,41.8,MVC,Barry Hinson," ""Southern Illinois""",28,67,6,24,15,28,17,21,38,14,8,1,6,26,77,106.6,118.5,22.8,-3.36081,0.244812
nc,A,2016,63.7,Alabama A&MTulane11-13,2015-11-13,225,71.7125," ""Alabama A&M"""," ""Tulane""",SWAC,100.8,97.7,94.8,45.3,20.9,31.8,26.6,59,Willie Hayes,2.0053,0.494719," ""Alabama A&M""",25,64,8,29,10,17,14,23,37,10,12,1,15,25,68,93.4,44.7,26.5,43.9,45.6,Amer,Ed Conroy," ""Tulane""",22,57,7,27,16,26,18,30,48,11,6,7,19,21,67,83.4,102.4,8.6,-2.0053,0.121417
nc,A,2016,69.9,AlbanyKentucky11-13,2015-11-13,200,69.925," ""Kentucky"""," ""Albany""",AE,100.6,94.3,93,44,21.5,37.1,37.9,67.6,Will Brown,-10.9948,0.963743," ""Albany""",25,58,1,14,14,22,13,15,28,4,9,0,15,26,65,111.5,62,28.6,44.4,48,SEC,John Calipari," ""Kentucky""",28,50,6,17,16,24,12,22,34,16,6,8,20,21,78,113.7,91.5,92.4,10.9948,0.48788
nc,A,2016,61,AmericanRhode Island11-13,2015-11-13,200,60.95," ""Rhode Island"""," ""American""",Pat,78.6,97,68.9,37,27.9,30.3,28.3,8.2,Mike Brennan,-7.90014,0.798473," ""American""",16,46,2,14,8,13,10,19,29,4,8,3,17,27,42,106.6,56.5,21.3,36.7,67.4,A10,Dan Hurley," ""Rhode Island""",24,46,4,13,13,31,11,23,34,8,8,5,13,17,65,97.7,84.5,84,7.90014,0.106637
nc,A,2016,66.9,Arkansas Pine BluffSeattle11-13,2015-11-13,200,66.95," ""Arkansas Pine Bluff"""," ""Seattle""",SWAC,84.9,93.1,86.6,42.7,17.9,20.5,29.1,25.7,George Ivory,-3.29915,0.280175," ""Arkansas Pine Bluff""",20,55,7,30,11,16,8,29,37,12,8,6,12,23,58,83.6,40.8,22.4,25.6,57.1,WAC,Cameron Dollar," ""Seattle""",17,49,6,16,16,28,10,31,41,12,5,0,15,17,56,79.9,101.5,6,3.29915,0.0536076
nc,A,2016,70.6,Arkansas St.SIU Edwardsville11-13,2015-11-13,200,70.5625," ""SIU Edwardsville"""," ""Arkansas St.""",SB,98.9,118,99.2,41,15.6,38,20.8,11.5,John Brady,-1.29875,0.225965," ""Arkansas St.""",26,72,7,20,11,15,19,28,47,14,2,1,11,27,70,112,44.5,9.9,28.2,72.7,OVC,Jon Harris," ""SIU Edwardsville""",21,55,7,22,30,40,11,31,42,13,4,5,7,20,79,104.1,108.1,39.3,1.29875,0.224306
nc,A,2016,70.6,Austin PeayVanderbilt11-13,2015-11-13,200,70.575," ""Vanderbilt"""," ""Austin Peay""",OVC,63.7,102.8,58.1,22.7,19.8,33.3,29.7,0.4,Dave Loos,-26.4883,0.936477," ""Austin Peay""",14,64,1,16,12,19,17,28,45,1,4,0,14,14,41,113.4,50,12.8,37.8,20.8,SEC,Kevin Stallings," ""Vanderbilt""",32,72,8,19,8,15,17,34,51,17,6,8,9,19,80,107.9,57.3,99.9,26.4883,0.284095
nc,A,2016,64.8,Ball St.Bradley11-13,2015-11-13,200,64.85," ""Bradley"""," ""Ball St.""",MAC,85.9,98.2,81.7,39.1,20,26.2,36.4,17.7,James Whitford,0.661565,0.181549," ""Ball St.""",20,55,3,11,10,20,11,29,40,7,7,4,13,27,53,83.3,37.2,20,29.3,68.1,MVC,Brian Wardle," ""Bradley""",15,47,5,20,19,32,12,31,43,10,3,5,13,23,54,82.8,84.9,42.8,-0.661565,0.42009
nc,A,2016,74.4,BelmontMarquette11-13,2015-11-13,200,74.45," ""Belmont"""," ""Marquette""",OVC,119.6,100.4,111.5,54.5,16.1,27.5,25.8,88.2,Rick Byrd,2.80599,0.812218," ""Belmont""",30,66,12,34,11,17,11,24,35,23,2,1,12,22,83,107.5,47.7,14.8,38.5,41.5,BE,Steve Wojciechowski," ""Marquette""",28,65,6,26,18,27,15,29,44,19,7,4,11,20,80,99.9,103.9,39.1,-2.80599,0.525785
nc,A,2016,75,BinghamtonSt. Bonaventure11-13,2015-11-13,200,74.975," ""St. Bonaventure"""," ""Binghamton""",AE,72.8,74.5,70.7,34.2,25.3,14.6,29.8,43.6,Tommy Dempsey,-3.43033,0.777244," ""Binghamton""",17,57,5,24,14,17,6,31,37,8,4,2,19,23,53,84,40.7,18.7,20.5,46.3,A10,Mark Schmidt," ""St. Bonaventure""",20,54,4,19,19,25,8,35,43,12,9,4,14,21,63,82.6,85.3,40.9,3.43033,0.13317
nc,A,2016,65.4,Boise St.Montana11-13,2015-11-13,200,65.4," ""Montana"""," ""Boise St.""",MWC,113.3,107.7,110.1,64,21.4,15.4,24,64.4,Leon Rice,3.82583,0.613722," ""Boise St.""",28,50,8,26,8,12,4,22,26,13,4,1,14,29,72,113.1,55.7,18.3,26.7,81.8,BSky,Travis DeCuire," ""Montana""",21,44,7,29,25,36,8,22,30,9,4,2,12,22,74,113.9,109.2,62.1,-3.82583,0.650983
nc,A,2016,77.1,BrownSaint Peter's11-13,2015-11-13,200,77.0875," ""Saint Peter's"""," ""Brown""",Ivy,92.5,102.4,84.3,40.2,18.2,19.5,36.1,23.8,Mike Martin,1.3824,0.40415," ""Brown""",21,61,7,33,16,22,8,34,42,13,4,4,14,24,65,99.9,44.8,9.1,26.1,46.3,MAAC,John Dunne," ""Saint Peter's""",27,67,6,22,17,31,12,33,45,12,8,1,7,19,77,88.1,92.7,35.5,-1.3824,0.202413
nc,A,2016,74.3,Cal PolyUNLV11-13,2015-11-13,200,74.3," ""UNLV"""," ""Cal Poly""",BW,102.5,100.2,96.9,45.4,18.8,31.7,24.6,56.6,Joe Callero,-3.53528,0.712557," ""Cal Poly""",26,65,7,25,13,16,13,21,34,13,9,1,14,30,72,99.6,48,25.6,40,78.4,MWC,Todd Simon," ""UNLV""",23,51,3,14,25,40,14,28,42,16,4,5,19,24,74,94.3,94.2,50.3,3.53528,0.347037
nc,A,2016,76.9,Cal St. FullertonLoyola Marymount11-13,2015-11-13,200,76.9," ""Loyola Marymount"""," ""Cal St. Fullerton""",BW,95,101.8,96.2,52.6,23.4,27.3,33.3,31.3,Dedrique Taylor,-3.2444,0.497652," ""Cal St. Fullerton""",27,57,6,16,14,19,9,33,42,18,4,2,18,26,74,102.7,38.9,13,34,40.3,WCC,Mike Dunlap," ""Loyola Marymount""",25,72,6,24,23,29,17,24,41,13,6,4,10,22,79,97.1,99.8,42.2,3.2444,0.251048
