game_id	season	game_date	team_name	team_id	team_abbreviation	opponent_id	opponent_name	opponent_abbrev	details	over_under	spread	provider_id	provider_name	away_team_odds_favorite	away_team_odds_underdog	away_team_odds_money_line	away_team_odds_spread_odds	away_team_odds_team_id	home_team_odds_favorite	home_team_odds_underdog	home_team_odds_money_line	home_team_odds_spread_odds	home_team_odds_team_id	team_short_display_name
400809203	2016	2015-11-18	Blue Devils	150	DUKE	96	Kentucky	UK	UK -1.5	NA	1.5	1004	consensus	TRUE	FALSE	NA	NA	96	FALSE	TRUE	NA	NA	150	Duke
400809204	2016	2015-11-18	Jayhawks	2305	KU	127	Michigan State	MSU	KU -5.0	NA	5	1004	consensus	TRUE	FALSE	NA	NA	2305	FALSE	TRUE	NA	NA	127	Kansas
400809205	2016	2015-12-09	Cavaliers	258	UVA	277	West Virginia	WVU	UVA -4.0	NA	-4	1004	consensus	FALSE	TRUE	NA	NA	277	TRUE	FALSE	NA	NA	258	Virginia
400809206	2016	2015-12-09	Huskies	41	CONN	120	Maryland	MD	MD -1.5	NA	1.5	1004	consensus	TRUE	FALSE	NA	NA	120	FALSE	TRUE	NA	NA	41	UConn
400809209	2016	2015-11-20	Huskies	2277	HBU	2628	TCU	TCU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Houston Baptist
400809210	2016	2015-11-20	Redbirds	2287	ILST	2571	South Dakota State	SDST	ILST -3.5	NA	-3.5	1004	consensus	FALSE	TRUE	NA	NA	2571	TRUE	FALSE	NA	NA	2287	Illinois State
400809211	2016	2015-11-22	Vikings	325	CLEV	227	Rhode Island	URI	URI -12.5	NA	-12.5	1004	consensus	FALSE	TRUE	NA	NA	325	TRUE	FALSE	NA	NA	227	Cleveland State
400809212	2016	2015-11-24	Huskies	2277	HBU	2571	South Dakota State	SDST	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Houston Baptist
400809213	2016	2015-11-24	Vikings	325	CLEV	2520	Rider	RID	RID -3.5	NA	3.5	1004	consensus	TRUE	FALSE	NA	NA	2520	FALSE	TRUE	NA	NA	325	Cleveland State
400809217	2016	2015-11-14	Falcons	2005	AFA	79	Southern Illinois	SIU	SIU -4.0	NA	-4	1004	consensus	FALSE	TRUE	NA	NA	2005	TRUE	FALSE	NA	NA	79	Air Force
400809218	2016	2015-11-14	Rams	36	CSU	2460	Northern Iowa	UNI	UNI -8.0	NA	-8	1004	consensus	FALSE	TRUE	NA	NA	36	TRUE	FALSE	NA	NA	2460	Colorado State
400809219	2016	2015-11-19	Ramblers	2350	LUC	167	New Mexico	UNM	UNM -6.0	NA	-6	1004	consensus	FALSE	TRUE	NA	NA	2350	TRUE	FALSE	NA	NA	167	Loyola Chicago
400809220	2016	2015-12-02	Bears	2623	MOST	328	Utah State	USU	USU -4.5	NA	4.5	1004	consensus	TRUE	FALSE	NA	NA	328	FALSE	TRUE	NA	NA	2623	Missouri State
400809262	2016	2015-12-13	Bulldogs	2181	DRKE	2440	Nevada	NEV	NEV -8.5	NA	-8.5	1004	consensus	FALSE	TRUE	NA	NA	2181	TRUE	FALSE	NA	NA	2440	Drake
400809263	2016	2015-12-20	Braves	71	BRAD	68	Boise State	BSU	BSU -21.0	NA	-21	1004	consensus	FALSE	TRUE	NA	NA	71	TRUE	FALSE	NA	NA	68	Bradley
400809264	2016	2015-12-20	Purple Aces	339	EVAN	278	Fresno State	FRES	FRES -1.5	NA	-1.5	1004	consensus	FALSE	TRUE	NA	NA	339	TRUE	FALSE	NA	NA	278	Evansville
400809265	2016	2015-11-17	Sycamores	282	INST	2751	Wyoming	WYO	INST -1.5	NA	-1.5	1004	consensus	FALSE	TRUE	NA	NA	2751	TRUE	FALSE	NA	NA	282	Indiana State
400809338	2016	2015-11-20	Bobcats	195	OHIO	202	Tulsa	TLSA	TLSA -10.0	NA	-10	1004	consensus	FALSE	TRUE	NA	NA	195	TRUE	FALSE	NA	NA	202	Ohio
400809339	2016	2015-11-21	Sycamores	282	INST	2450	Norfolk State	NORF	INST -4.5	NA	4.5	1004	consensus	TRUE	FALSE	NA	NA	282	FALSE	TRUE	NA	NA	2450	Indiana State
400809340	2016	2015-11-20	Seminoles	52	FSU	2275	Hofstra	HOF	FSU -6.5	NA	-6.5	1004	consensus	FALSE	TRUE	NA	NA	2275	TRUE	FALSE	NA	NA	52	Florida State
400809341	2016	2015-11-20	Blue Demons	305	DEP	2579	South Carolina	SC	SC -5.5	NA	-5.5	1004	consensus	FALSE	TRUE	NA	NA	305	TRUE	FALSE	NA	NA	2579	DePaul
400809342	2016	2015-11-14	Purple Eagles	315	NIAG	295	Old Dominion	ODU	ODU -16.5	NA	-16.5	1004	consensus	FALSE	TRUE	NA	NA	315	TRUE	FALSE	NA	NA	295	Niagara
400809343	2016	2015-11-14	Aggies	2448	NCAT	2509	Purdue	PUR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NC A&T
400809344	2016	2015-11-15	Boilermakers	2509	PUR	261	Vermont	UVM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Purdue
400809345	2016	2015-11-15	Hawks	2603	JOES	315	Niagara	NIAG	JOES -13.0	NA	-13	1004	consensus	FALSE	TRUE	NA	NA	315	TRUE	FALSE	NA	NA	2603	Saint Joseph's
400809346	2016	2015-11-17	Gators	57	FLA	2448	North Carolina A&T	NCAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Florida
400809347	2016	2015-11-17	Bulls	2084	BUFF	295	Old Dominion	ODU	ODU -9.0	NA	-9	1004	consensus	FALSE	TRUE	NA	NA	2084	TRUE	FALSE	NA	NA	295	Buffalo
400809349	2016	2015-11-25	Gators	57	FLA	261	Vermont	UVM	FLA -13.0	NA	-13	1004	consensus	FALSE	TRUE	NA	NA	261	TRUE	FALSE	NA	NA	57	Florida
400809350	2016	2015-11-21	Monarchs	295	ODU	2509	Purdue	PUR	ODU -7.5	NA	-7.5	1004	consensus	FALSE	TRUE	NA	NA	2509	TRUE	FALSE	NA	NA	295	Old Dominion
400809351	2016	2015-11-21	Gators	57	FLA	2603	Saint Joseph's	JOES	JOES -7.5	NA	7.5	1004	consensus	TRUE	FALSE	NA	NA	2603	FALSE	TRUE	NA	NA	57	Florida
400809352	2016	2015-11-21	Purple Eagles	315	NIAG	261	Vermont	UVM	UVM -7.5	NA	-7.5	1004	consensus	FALSE	TRUE	NA	NA	315	TRUE	FALSE	NA	NA	261	Niagara
400809353	2016	2015-11-22	Bulls	2084	BUFF	2448	North Carolina A&T	NCAT	NCAT -13.0	NA	13	1004	consensus	TRUE	FALSE	NA	NA	2448	FALSE	TRUE	NA	NA	2084	Buffalo
400809380	2016	2015-11-14	Great Danes	399	ALB	96	Kentucky	UK	UK -22.0	NA	-22	1004	consensus	FALSE	TRUE	NA	NA	399	TRUE	FALSE	NA	NA	96	Albany
400809381	2016	2015-11-15	Highlanders	2885	NJIT	96	Kentucky	UK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NJIT
400809382	2016	2015-11-17	Great Danes	399	ALB	104	Boston University	BU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Albany
