type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2013,68.9,323140002,2012-11-09,200,68.94999999999999," ""Auburn"""," ""IPFW""",Sum,79.5,85.4,72.5,32.7,24.7,25,44.2,30.5,Tony Jasick,1.75844,0.509864," ""IPFW""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5,43.5,23.2,32.4,38.9,SEC,Tony Barbee," ""Auburn""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4,81.1,47.5,-1.75844,0.276388
nc,A,2013,68.5,323140008,2012-11-09,200,68.525," ""Arkansas"""," ""Sam Houston St.""",Slnd,104.7,101.9,99.2,53.3,27.7,44.8,10,57.9,Jason Hooten,-5.51588,0.817357," ""Sam Houston St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.5,46.1,13.1,23.3,62.7,SEC,Mike Anderson," ""Arkansas""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.5,108.3,53.1,5.51588,0.25888
nc,N,2013,68.5,323140024,2012-11-09,200,68.525," ""Stanford"""," ""San Francisco""",WCC,96.7,99.6,90.5,44.9,21.9,33.3,25.4,41.5,Rex Walters,-7.35776,0.844837," ""San Francisco""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,53.6,8.8,8.6,41.8,P12,Johnny Dawkins," ""Stanford""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.2,86.5,91.4,7.35776,0.579789
nc,A,2013,70.4,323140026,2012-11-09,200,70.4125," ""UCLA"""," ""Indiana St.""",MVC,96.1,105.1,83.8,35.8,21.3,35.4,43.3,26.3,Greg Lansing,-7.86061,0.884681," ""Indiana St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.1,51.8,22.7,56.8,73.2,P12,Ben Howland," ""UCLA""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.1,90.7,96.8,7.86061,0.588123
nc,A,2013,76.5,323140030,2012-11-09,200,76.4875," ""USC"""," ""Coppin St.""",MEAC,101.9,112.2,95.4,43,18.3,24.3,57.9,24.9,Fang Mitchell,-10.3134,0.757757," ""Coppin St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7,54.1,22.2,47.1,45.9,P12,Kevin O'Neill," ""USC""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.9,104.6,56.3,10.3134,0.119883
nc,A,2013,64.2,323140036,2012-11-09,200,64.19999999999999," ""Colorado St."""," ""Montana""",BSky,108.3,92.7,101.2,53.4,20.2,7.4,52.3,85.6,Wayne Tinkle,0.465234,0.906886," ""Montana""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.1,38.7,14,50,77.4,MWC,Larry Eustachy," ""Colorado St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.2,104.9,53.6,-0.465234,0.413251
nc,A,2013,66,323140038,2012-11-09,200,66.025," ""Colorado"""," ""Wofford""",SC,99.9,107,89.4,46.7,19.7,23.1,3.3,31.2,Mike Young,-10.768,0.887621," ""Wofford""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.1,48.9,15.1,24.2,76.6,P12,Tad Boyle," ""Colorado""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.2,104.1,81.2,10.768,0.198191
nc,N,2013,65.2,323140041,2012-11-09,200,65.175," ""Connecticut"""," ""Michigan St.""",B10,99.3,95.9,95.1,40.6,23,47.6,20.3,60.1,Tom Izzo,-5.82701,0.842474," ""Michigan St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.3,51.9,18.4,23.3,24.1,BE,Kevin Ollie," ""Connecticut""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.7,83.8,98.2,5.82701,0.939247
nc,A,2013,73.7,323140052,2012-11-09,200,73.7," ""South Alabama"""," ""Florida St.""",SB,103.7,91.7,103.1,51,25.8,30.3,64,80.4,Ronnie Arrow,1.32979,0.705112," ""South Alabama""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,46.2,23.1,33.3,60.4,ACC,Leonard Hamilton," ""Florida St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,108.2,20.9,-1.32979,0.312254
nc,A,2013,61.8,323140059,2012-11-09,200,61.8125," ""Georgia Tech"""," ""Tulane""",CUSA,112.2,125.7,98.7,44.9,6.5,18.4,27.1,21.3,Ed Conroy,-8.90494,0.794407," ""Tulane""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.8,58.8,16.2,50,33.3,ACC,Brian Gregory," ""Georgia Tech""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.6,96.6,92.7,8.90494,0.472355
nc,A,2013,77.2,323140061,2012-11-09,200,77.25," ""Georgia"""," ""Jacksonville""",ASun,84.3,88.8,80.3,39.3,27.2,35.7,36.1,35.4,Cliff Warren,-7.55381,0.747217," ""Jacksonville""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,44.9,29.8,35.1,77.6,SEC,Mark Fox," ""Georgia""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.2,84.4,49.2,7.55381,0.152345
nc,A,2013,77,323140062,2012-11-09,200,77," ""Hawaii"""," ""Maryland Eastern Shore""",MEAC,78.3,98.8,83.1,40.7,15.6,24.4,21.4,6.4,Frankie Allen,-11.4192,0.477377," ""Maryland Eastern Shore""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7,55.8,27.3,31,48.1,BW,Gib Arnold," ""Hawaii""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,96.6,31.5,11.4192,0.0334993
nc,A,2013,81.4,323140066,2012-11-09,200,81.44999999999999," ""Iowa St."""," ""Southern""",SWAC,82.4,79.3,72.4,34.1,19.6,17.4,24.2,60.7,Roman Banks,-1.45693,0.912266," ""Southern""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.7,49.3,25.8,45.7,41.2,B12,Fred Hoiberg," ""Iowa St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,84.5,81.5,1.45693,0.395989
nc,A,2013,64.9,323140070,2012-11-09,200,64.9," ""Wright St."""," ""Idaho""",Horz,113.2,98.3,123.3,53.4,9.2,23.5,32.2,83.6,Billy Donlon,6.95721,0.493702," ""Wright St.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.9,59.3,20,25,67.4,WAC,Don Verlin," ""Idaho""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.2,131.3,19.7,-6.95721,0.562019
nc,A,2013,63.8,323140071,2012-11-09,200,63.8375," ""Bradley"""," ""Eastern Illinois""",OVC,84.9,113.1,83,41.8,23.5,22.2,32.7,3.5,Jay Spoonhour,NA,0.60344," ""Eastern Illinois""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.1,60.6,17.2,29.2,32.7,MVC,Geno Ford," ""Bradley""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.2,88.9,89.6,NA,0.172055
nc,A,2013,75.6,323140084,2012-11-09,200,75.61250000000001," ""Indiana"""," ""Bryant""",NEC,90.3,98.6,71.4,35.5,23.8,27.1,27.4,26.6,Tim O'Shea,-12.9111,0.977456," ""Bryant""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.3,63,22.5,40.7,63,B10,Tom Crean," ""Indiana""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.5,75.3,98.8,12.9111,0.409156
