team_short_display_name,team_name,team_abbreviation
Florida Int'l,Panthers,FIU
FIU,Panthers,FIU
Florida,Gators,FLA
Florida Coll,Falcons,FLCO
Flagler,Saints,FLGR
Florida Natl,Conquistadors,FLN
FL Mem,Lions,FM
FL Memorial,Lions,FM
Fontbonne,Griffins,FNT
Fordham,Rams,FOR
Franklin Pierce,Ravens,FRA
Franciscan,Barons,FRAN
Fresno State,Bulldogs,FRES
Francis,Patriots,FRM
Frostburg St,Bobcats,FRO
Fresno Pacific,Sunbirds,FRP
Ferris State,Bulldogs,FRST
Florida State,Seminoles,FSU
Furman,Paladins,FUR
Fort Valley St,Wildcats,FVS
Farmingdale,Rams,FXS
Georgian Court,Lions,GA CT
Gallaudet,Bison,GAL
Gannon,Golden Knights,GAN
GA Southern,Eagles,GASO
Georgia So,Eagles,GASO
Georgia State,Panthers,GAST
Georgia Southwestern,Hurricanes,GASW
Green Bay,Phoenix,GB
Grace Bible,Tigers,GBC
Grand Canyon,Antelopes,GCU
Geneva,Golden Tornadoes,GEN
Gettysbu,Bullets,GET
George Fox,NA,GFX
Glenville St,Pioneers,GLN
George Mason,Patriots,GMU
Goldey-Beacom,Goldey-Beacom,GOLDY
Gonzaga,Bulldogs,GONZ
Gordon,Fighting Scots,GOR
Goshen,Maple Leafs,GOS
Goucher,Gophers,GOU
Grace,Grace,GRACE
Grambling,Tigers,GRAM
Graceland,Yellowjackets,GRC
Greenville,Panthers,GRE
Greensboro,Pride,GRN
Governors State,Jaguars,GS
Georgia Tech,Yellow Jackets,GT
Georgetown,Hoyas,GTWN
Guilford,Quakers,GUI
G Washington,Colonials,GW
Gardner-Webb,Runnin' Bulldogs,GWEB
Gwynedd-Mercy,Griffins,GWY
Hampden,Tigers,HAC
Seton Hall,Pirates,HALL
Hampton,Pirates,HAMP
Hanover,Panthers,HAN
Hardin-Simmons,Cowboys,HAR
Harris Stowe,Hornets,HAR
Harding,Bison,HAR
Harrisburg,Lions,HARR
Hartford,Hawks,HART
Harvard,Crimson,HARV
Haskell,Jayhawks,HAS
Hastings,Broncos,HAS
Haverford,Fords,HAV
Hawai'i,Rainbow Warriors,HAW
Houston Baptist,Huskies,HBU
Holy Cross,Crusaders,HC
Heidelberg,Student Princes,HEI
Henderson St,Reddies,HEN
Hillsdale,Chargers,HIL
HI Hilo,Vulcans,HILO
Hawaii-Hilo,Vulcans,HILO
Hiram,Hiram,HIRAM
Hiwassee,Tigers,HIW
Hannibal-LaGrange Co,Trojans,HLG
Holy Names,Hawks,HNU
Hofstra,Pride,HOF
Holy Family College,Tigers,HOL
Hood,Blazers,HOOD
Hope College,Hope,HOPE
Houston,Cougars,HOU
Houghton,Highlanders,HOUG
Howard,Bison,HOW
High Point,Panthers,HP
HI Pacific,Sharks,HPU
Humboldt St,Lumberjacks,HUM
Huntingdon,Hawks,HUNT
Hus-Till,Rams,HUS
Howard Payne,Yellow Jackets,HWP
Coll Idaho,Yotes,IDA
Idaho,Vandals,IDHO
Idaho State,Bengals,IDST
IL Tech,Scarlet Hawks,IIT
IU-Kokomo,Cougars,IKO
Illinois,Fighting Illini,ILL
Illinois State,Redbirds,ILST
IL Wesylan,Titans,ILW
Immaculata,MIghty Macs,IMM
Indianapolis,Greyhounds,INDY
IN South Bend,Titans,INSB
Indiana State,Sycamores,INST
IU-Northwest,RedHawks,INW
Iona,Gaels,IONA
Iowa Wesleyan,Tigers,IOW
Iowa,Hawkeyes,IOWA
Iowa State,Cyclones,ISU
Indiana,Hoosiers,IU
Indiana-East Univ,Red Wolves,IUE
IUPUI,Jaguars,IUPU
Jamestow,Jimmies,JAM
Jarvis Chr,Bulldogs,JAR
Jacksonville,Dolphins,JAX
JohnBrow,Golden Eagles,JB
John Jay,Bloodhounds,JJ
Jackson State,Tigers,JKST
Jackson St,Tigers,JKST
James Madison,Dukes,JMU
Saint Joseph's,Hawks,JOES
Judson College,Eagles,JUD
Johnson FL,Suns,JUFL
Johnson (TN),Royals,JUTN
Jacksonville St,Gamecocks,JVST
J'Ville St,Gamecocks,JVST
Joh. & Wales CO,Wildcats,JW
Joh. & Wales NC,Wildcats,JWN
Joh. & Wales RI,Wildcats,JWRI
Kalamazoo,Hornets,KAL
NA,Roos,KC
Kansas City,Roos,KC
Kean,Kean,KEAN
Kenyon,Lords,KEN
Kennesaw State,Owls,KENN
Kent State,Golden Flashes,KENT
King  TN,Tornado,KING
Knox College,Knox,KNOX
Keene State,Owls,KST
Kansas State,Wildcats,KSU
Kansas,Jayhawks,KU
Kentucky Chr,Knights,KYCH
Kentucky St,Thorobreds,KYS
Keystone,Keystone,KYSTN
KY Wesleyan,Panthers,KYW
Loyola (LA),Wolfpack,L-LA
Loyola (MD),Greyhounds,L-MD
LA Coll,Wildcats,LA
Lafayette,Leopards,LAF
Lenoir Rhyne,Bears,LAG
Lamar,Cardinals,LAM
Lander,Bearcats,LAN
Langston,Lions,LANG
Laroche,Redhawks,LAR
La Salle,Explorers,LAS
Lancaster Bible,Chargers,LBC
Lubbock Christian,Chaparrals,LBCH
Lindenwood,Lions,LBI
Long Beach St,Beach,LBSU
Lincoln (CA),Lions,LCA
Our Lady,Saints,LDY
Lees McRae,Bobcats,LEES
Lehigh,Mountain Hawks,LEH
St. Leo,Lions,LEO
Lesley University,Lynx,LES
Lewis & Clark,Pioneers,LEW
Lewis,Lewis,LEWIS
LaGrange,Panthers,LG
Liberty,Flames,LIB
Lincoln,Red Lions,LICH
Life University,Running Eagles,LIFE
Limestone,Saints,LIM
Lincoln PA,Lions,LIN
Lindsey Wilson,Blue Raiders,LIN
Lipscomb,Bisons,LIP
Long Island,Sharks,LIU
Lake Erie,Storm,LKE
Loyola Marymnt,Lions,LMU
LMU,Lions,LMU
Linfield,Wildcats,LNFD
LeMoyne-Owen,Magicians,LO
Longwood,Lancers,LONG
Louisville,Cardinals,LOU
Life Pacific,Warriors,LP
La Sierra,Golden Eagles,LSR
LSU Shreveport,Pilots,LSS
LSU,Tigers,LSU
LSU Alexandria,Generals,LSUAL
Louisiana Tech,Bulldogs,LT
LeTourneau,Yellow Jackets,LTO
Loyola Chicago,Ramblers,LUC
Luther,Norse,LUT
La Verne,Leopards,LV
Lyndon St,Hornets,LYDS
Lynchburg,Hornets,LYN
Lyon,Scots,LYON
Miami (OH),Redhawks,M-OH
Mid-Atl Chrstn,Mustangs,MACH
Maine-Farmington,Highlanders,MAI
NA,Black Bears,MAINE
Maine,Black Bears,MAINE
Malone,Pioneers,MAL
Manhattan,Jaspers,MAN
Manhattanville,Valiants,MAN
Manhattan,Valiants,MAN
Manhattanville,Jaspers,MAN
Marygrove,Mustangs,MAR
Marquette,Golden Eagles,MARQ
Marymoun,Saints,MARY
Maryvill,Fighting Scots,MARY
Maryville,Fighting Scots,MARY
UMass,Minutemen,MASS
Masters,Mustangs,MAST
Mayville St,Comets,MAY
MO Baptist,Spartans,MB
UMass Boston,Beacons,MB
Mary Baldwin,Fighting Squirrels,MBU
MCLA,Mohawks,MCLA
McNeese,Cowboys,MCNS
NA,Cowboys,MCNS
U of Mary,Marauders,MCO
Maryland,Terrapins,MD
Medgar Evers,Cougars,ME
Maine-Ft Kent,Bengals,MEFK
Memphis,Tigers,MEM
Mercer,Bears,MER
Mercy,Mercy,MERCY
Messiah,Falcons,MESS
Metro State,Roadrunners,MET
Mid Georgia St,Knights,MGAS
Mars Hill,Lions,MH
Mary Hardin-Bay,Crusaders,MHB
Mount Ida,Mustangs,MI
Miami,Hurricanes,MIA
Miami-Hamilton,Mia-Ham,MIAH
Michigan,Wolverines,MICH
Mid-Continent,NA,MID
Midwest,Mustangs,MID
Midway,Eagles,MID
Mid-America CU,Evangels,MID
Midland U,Warriors,MID
Milwaukee,Panthers,MILW
Minn-Morris,Cougars,MIN
Minnesota,Golden Gophers,MINN
MS College,Choctaws,MIS
Ole Miss,Rebels,MISS
Mitchell,Mariners,MITCH
Missouri,Tigers,MIZ
Milligan,Buffaloes,MLG
Millersv,Marauders,MLR
Miles,Miles,MLS
Millsaps,Majors,MLSP
Merchant Marine,Mariners,MM
Maine Maritime,Mariners,MM
McMurry,War Hawks,MMR
Manchester,Spartans,MNCH
Minn Crookston,Golden Eagles,MNCK
Menlo,Menlo,MNLO
Minot St,Beavers,MNT
Mount Olive,Trojans,MO
Mobile,Rams,MOB
Molloy,Lions,MOL
Montreat,Cavaliers,MON
Monteval,Falcons,MON
Monmouth,Hawks,MONM
Montana,Grizzlies,MONT
Morehouse,Tigers,MOR
Morris College,Hornets,MOR
Morehead State,Eagles,MORE
Morgan State,Bears,MORG
Missouri South St,Lions,MOS
Missouri State,Bears,MOST
Merrimack,Warriors,MRMK
Marshall,Thundering Herd,MRSH
Marist,Red Foxes,MRST
Mount St. Joseph,Lions,MSJ
Maryville,Saints,MSL
Mt. St. Mary's,Mountaineers,MSM
Mount St Mary,Mountaineers,MSM
Mississippi St,Bulldogs,MSST
Michigan State,Spartans,MSU
Mt. St. Vincent,Dolphins,MSV
MT Tech,Orediggers,MT
Mt. Aloysius,Mounties,MTAL
Mount Marty College,Lancers,MTM
Montana State,Bobcats,MTST
NA,Blue Raiders,MTSU
MTSU,Blue Raiders,MTSU
Multnomah,Lions,MULT
Murray State,Racers,MUR
Missouri Valley,Vikings,MV
Miss Valley St,Delta Devils,MVSU
MaryWash,Eagles,MW
Mo Western,Griffons,MW
Northwood,Timberwolves,"NAR"
N Arizona,Lumberjacks,"NAU"
Navy,Midshipmen,"NAVY"
Newberry,Indians,NBR
NC A&T,Aggies,NCAT
NC Central,Eagles,NCCU
NC State,Wolfpack,NCST
North Central U,Rams,NCU
NC Wesleyan,Battling Bishops,NCW
Notre Dame,Fighting Irish,ND
North Dakota St,Bison,NDSU
N Dakota St,Bison,NDSU
Northeastern,Huskies,NE
Nebraska,Cornhuskers,NEB
Nebraska Wesleyan,PrairieWolves,NEBW
Nebraska Christ,Sentinels,NECH
Northeastern St,RiverHawks,NEOS
New Rochelle,Blue Angels,NERO
Nevada,Wolf Pack,NEV
Newman,Jets,NEW
Apprentice,Builders,NEW
N Greenville,Crusaders,NG
N Georgia,Saints,NGA
New Hope,Deacons,NHP
Niagara,Purple Eagles,NIAG
Nicholls,Colonels,NICH
N Illinois,Huskies,NIU
NJIT,Highlanders,NJIT
Nebraska-Kearney,Lopers,NK
N Kentucky,Norse,NKU
NM Highlands,Cowboys,NMH
New Mexico St,Aggies,NMSU
No New Mexico,Eagles,NNM
Norfolk State,Spartans,NORF
Northwood,Knights,NORT
Northland,Lumberjacks,NORT
North Park,Vikings,NP
NA,Wildcats,NU
Northwestern,Wildcats,NU
Newbury,Newbury,NWBR
Northwest Indian,Eagles,NWIND
NW Nazarene,Crusaders,NWN
Northwest Ohio,Racers,NWOH
NW Oklahoma St,Rangers,NWOS
Northwestern St,Demons,NWST
N'Western St,Demons,NWST
Northwest (WA),Eagles,NWU
Nyack College,Warriors,NYA
Oakland,Golden Grizzlies,OAK
Ouachita Baptist,Tigers,OB
Oberlin,Yeomen,OBE
Old Dominion,Monarchs,ODU
Coastal Georgia,Mariners,OFC
Ohio Christian,Trailblazers,OHC
Oak Hills Chr.,Wolfpack,OHC
Ohio Dominican,Panthers,OHDM
Ohio,Bobcats,OHIO
Okla Christian,Eagles,OKCH
Oklahoma State,Cowboys,OKST
Oakwood,Ambassadors,OKW
Olivet College,Comets,OLIV
Omaha,Mavericks,OMA
Ohio Northern,Polar Bears,ON
Olivet Nazarene,Tigers,ONZ
Open Bible,Bruins,OPENB
Oregon,Ducks,ORE
Oregon State,Beavers,ORST
Oral Roberts,Golden Eagles,ORU
Ohio State,Buckeyes,OSU
Oregon Tech,Hustlin' Owls,OT
Ottawa (AZ),Spirit,OTAZ
Oklahoma,Sooners,OU
Ohio Valley,Fighting Scots,OV
Ozarks AR,Eagles,OZAR
Pacific,Tigers,PAC
Pacific Union,Pioneers,PAC
Pacific,Pioneers,PAC
Pacific Union,Tigers,PAC
Pace,Pace,PACE
Pacific (OR),Boxers,PACO
Paine,Paine,PAINE
Panhandle St,Aggies,PAN
Palm Beach Atl,Sailfish,PBA
Pensacola,Eagles,PEN
Penn,Quakers,PENN
Pennsylvania,Quakers,PENN
Pepperdine,Waves,PEPP
Peru St,Bobcats,PER
Pacifica College,Gladiators,PFC
Pfeiffer,Falcons,PFE
Purdue FW,Mastodons,PFW
Piedmont,Lions,PIED
Pikeville,Bears,PIKE
Pine Manor,Gators,PIN
Pittsburgh,Panthers,PITT
Pacific Lutheran,Lutes,PL
Point Loma,Sea Lions,PLN
Purdue NW,Pride,PNW
Portland Bible,Wildcats,POBI
Point,Skyhawks,POI
Pomona P,Sagehens,POM
Portland,Pilots,PORT
Point Park,Pioneers,PP
Paul Quinn,Tigers,PQ
NA,Blue Hose,PRE
Presbyterian,Blue Hose,PRE
Presentation,Saints,PRES
Princeton,Tigers,PRIN
Providence (MT),Argos,PRMT
Providence,Friars,PROV
Portland State,Vikings,PRST
Puget Sound,Loggers,PS
Philander Smith,Panthers,PS
Penn State,Nittany Lions,PSU
Penn St - York,Nittany Lions,PSUY
Purdue,Boilermakers,PUR
Prairie View,Panthers,PV
Quincy,Hawks,QNCY
Quinnipiac,Bobcats,QUIN
Radford,Highlanders,RAD
Randall,Saints,RAND
Rogers State,Hillcats,RBA
NA,Warriors,RCU
Redlands,Bulldogs,RED
Regis Univ,Rangers,REG
Reinhardt,Eagles,REIN
Regent,Royals,RGNT
NA,Vaqueros,RGV
UT Rio Grande,Vaqueros,RGV
Rhodes,Lynx,RHOD
Rice,Owls,RICE
Richmond,Spiders,RICH
Rider,Broncs,RID
Rio Grande,RedStorm,RIO
Rivier,Raiders,RIV
R. Morris-Spfld,Eagles,RMSP
Robert Morris,Colonials,RMU
Roanoke,Maroons,ROA
Rockhurst,Hawks,ROCK
Roosevelt,Lakers,RSV
Rutgers-Newark,Scarlet Raiders,RTN
Rust,Rust,RUST
Rutgers,Scarlet Knights,RUTG
Missouri S&T,Miners,S&T
St. Andrews,Knights,SA
St Ambro,Fighting Bees,SA
Sacramento St,Hornets,SAC
Salisbury,Sea Gulls,SAL
Samford,Bulldogs,SAM
Southern Ark.,Muleriders,SAU
Savannah State,Tigers,SAV
St. Bonaventure,Bonnies,SBU
South Carolina,Gamecocks,SC
Schreiner,Mountaineers,SCHR
SC State,Bulldogs,SCST
Santa Clara,Broncos,SCU
SC Upstate,Spartans,SCUP
South Dakota,Coyotes,SDAK
SD Christian,Hawks,SDCC
South Dakota St,Jackrabbits,SDST
S Dakota St,Jackrabbits,SDST
San Diego State,Aztecs,SDSU
Southeastern U,Fires,SE
Seattle U,Redhawks,SEA
SE Baptist,Chargers,SEBA
SE Louisiana,Lions,SELA
SE Missouri St,Redhawks,SEMO
SE Okla St,Savage Storm,SEOS
St. Edward's,Hilltoppers,SEU
San Francisco,Dons,SF
SF Austin,Lumberjacks,SFA
St. Fran. (BKN),Terriers,SFBK
St Francis BK,Terriers,SFBK
St Francis (IL),Fighting Saints,SFIL
St. Fran. (PA),Red Flash,SFPA
St Francis PA,Red Flash,SFPA
San Fran St,Gators,SFSU
St Gregory's,Cavaliers,SG
Siena Heights,Saints,SH
Shenandoah,Hornets,SHEN
Shorter,Hawks,SHOR
Sam Houston St,Bearkats,SHSU
Sam Houston,Bearkats,SHSU
Sacred Heart,Pioneers,SHU
Siena,Saints,SIE
Silver Lake,Lakers,SILV
Simpson,Red Hawks,SIM
So Illinois,Salukis,SIU
S Illinois,Salukis,SIU
SIUE,Cougars,SIUE
St Josephs (ME),Monks,SJME
San José State,Spartans,SJSU
St. John's,Red Storm,SJU
Skidmore,Thoroughbreds,SKID
Saint Louis,Billikens,SLU
Saint Mary's,Gaels,SMC
StMaryMD,Seahawks,SMMD
St. Mary's MD,Seahawks,SMMD
St Marys,Rattlers,SMTX
SMU,Mustangs,SMU
Southern Nazarene,Crimson Storm,SN
Sonoma St,Seawolves,SON
Southern,Jaguars,SOU
Spring Hill,Badgers,SPHL
Saint Peter's,Peacocks,SPU
Sul Ross,Lobos,SROS
Shawnee,Bears,SS
St. Thomas Aquinas,Saints,STAC
Stanford,Cardinal,STAN
Stony Brook,Seawolves,STBK
St. Catharine,Patriots,STC
Stetson,Hatters,STET
St. Katherine,Firebirds,STKAT
St. Mary's (MN),Cardinals,STM
St. Thomas (TX),Celts,STT
So New Orleans,Knights,SU
Suffolk University,Rams,SUF
Summit,Defenders,SUMM
Southern Utah,Thunderbirds,SUU
Southern VT,Mountaineers,SV
Southern VA,Knights,SVA
SagValSt,Cardinals,SVSU
Southwest,Mustang,SW
Southwestern U,Pirates,SW
S Wesleyan,Warriors,SW
SW Adventist,Knights,SWA
SW Assem Of God,Lions,SWA
SWBapt,Bearcats,SWB
SW Christian Univ,Eagles,SWCHR
St Xavier,Cougars,SX
Syracuse,Orange,SYR
Texas A&M,Aggies,TA&M
Tabor College,Tabor,TABOR
Tampa,Tampa,TAMPA
Tarleton,Texans,TAR
Texas College,Steers,TC
