type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2018,80.5,Alabama St.Mississippi St.11-10,2017-11-10,200,80.5375," ""Mississippi St."""," ""Alabama St.""",SWAC,90.2,112,84.4,42.5,21.1,30.6,32.8,7.6,Lewis Jackson,-20.6448,0.873284," ""Alabama St.""",25,67,7,26,11,22,15,26,41,8,6,1,17,26,68,119.2,53.9,17.4,33.3,54.7,SEC,Ben Howland," ""Mississippi St.""",31,64,7,20,27,35,13,34,47,16,7,4,14,19,96,107.5,92.4,85,20.6448,0.0636023
nc,N,2018,74.2,AlabamaMemphis11-10,2017-11-10,200,74.19999999999999," ""Alabama"""," ""Memphis""",SEC,106.4,93.5,110.5,55.3,21.6,35.1,49.1,81.6,Avery Johnson,3.68103,0.542301," ""Alabama""",26,57,11,27,19,28,13,27,40,16,8,7,16,30,82,94.3,40,22.9,41.3,60,Amer,Tubby Smith," ""Memphis""",23,60,2,17,22,36,19,24,43,7,7,3,17,22,70,105.5,104.6,52.5,-3.68103,0.805224
nc,A,2018,68.8,Alcorn St.LSU11-10,2017-11-10,200,68.7875," ""LSU"""," ""Alcorn St.""",SWAC,94.1,124.3,85.8,42.4,23.3,31.6,22,3.9,Montez Robinson,-15.6482,0.823518," ""Alcorn St.""",23,59,4,24,9,13,12,14,26,7,4,2,16,18,59,143.9,70.3,10.2,39.1,40.7,SEC,Will Wade," ""LSU""",36,59,11,19,16,24,9,26,35,18,12,6,7,16,99,124,102.5,90,15.6482,0.0730707
nc,A,2018,67.4,AmericanKansas St.11-10,2017-11-10,200,67.4375," ""Kansas St."""," ""American""",Pat,78,113.3,66.7,37.5,26.7,22.2,7.1,1.3,Mike Brennan,-19.6785,0.893019," ""American""",17,56,8,31,3,4,8,15,23,9,9,1,18,15,45,123.1,66,25.2,46.4,39.6,B12,Bruce Weber," ""Kansas St.""",29,53,12,22,13,21,13,28,41,22,8,4,17,11,83,111.6,75.7,98.9,19.6785,0.124862
nc,A,2018,75.2,Arkansas Pine BluffHawaii11-10,2017-11-10,200,75.17500000000001," ""Hawaii"""," ""Arkansas Pine Bluff""",SWAC,96.5,113.9,93.1,45.6,20,27,42.1,13,George Ivory,-8.32619,0.514325," ""Arkansas Pine Bluff""",21,57,10,26,18,24,10,20,30,10,10,3,15,33,70,109.1,52.9,20,31,82.4,BW,Eran Ganot," ""Hawaii""",25,51,4,20,28,42,9,27,36,20,7,2,15,17,82,102.2,105.4,41.3,8.32619,0.0905605
nc,A,2018,69.4,Arkansas St.Evansville11-10,2017-11-10,200,69.42500000000001," ""Evansville"""," ""Arkansas St.""",SB,100.6,116.6,90.7,44.9,23,33.3,20.3,15.6,Mike Balado,-8.45245,0.64666," ""Arkansas St.""",24,59,5,19,10,12,12,24,36,5,7,3,16,27,63,110.9,50,18.7,29.4,66.7,MVC,Marty Simmons," ""Evansville""",23,51,5,17,26,34,10,24,34,16,9,6,13,18,77,100.2,92.3,72.1,8.45245,0.207045
nc,A,2018,71.6,ArmyHofstra11-10,2017-11-10,200,71.6," ""Hofstra"""," ""Army""",Pat,100.4,100,103.4,52.3,18.2,31.6,16.9,51.1,Zach Spiker,-0.977889,0.595238," ""Army""",30,65,8,27,6,11,12,21,33,17,6,1,13,22,74,107.5,46,19.6,41.7,33.3,CAA,Joe Mihalich," ""Hofstra""",25,63,8,28,19,21,15,26,41,15,3,1,14,16,77,101.6,110.9,26.9,0.977889,0.207447
nc,A,2018,66.9,Austin PeayVanderbilt11-10,2017-11-10,200,66.86250000000001," ""Vanderbilt"""," ""Austin Peay""",OVC,83.2,95.6,80.8,43.5,25.4,28.1,22.2,16.9,Matt Figger,-7.72879,0.773515," ""Austin Peay""",22,54,3,13,7,12,9,22,31,11,5,1,17,20,54,109.2,52.6,22.4,42.1,32.8,SEC,Bryce Drew," ""Vanderbilt""",26,58,9,25,12,19,16,23,39,17,8,6,15,16,73,103.7,84.2,91.6,7.72879,0.393658
nc,A,2018,74.4,Ball St.Dayton11-10,2017-11-10,200,74.3625," ""Dayton"""," ""Ball St.""",MAC,101,101.1,103.5,53,16.1,18.4,11.9,49.7,James Whitford,-3.20851,0.618836," ""Ball St.""",31,67,9,27,6,8,7,28,35,15,4,3,12,19,77,104.9,51.7,14.8,20,39.7,A10,Anthony Grant," ""Dayton""",28,58,4,16,18,23,7,31,38,14,5,2,11,15,78,106.5,105.6,52.3,3.20851,0.400198
nc,A,2018,77.4,BelmontWashington11-10,2017-11-10,200,77.4," ""Washington"""," ""Belmont""",OVC,115.9,105.3,105.9,56.9,20.7,26.5,18.5,75.1,Rick Byrd,3.85625,0.752492," ""Belmont""",32,65,10,31,8,12,9,21,30,20,4,4,16,27,82,111.1,57.7,19.4,25,69.2,P12,Mike Hopkins," ""Washington""",28,52,4,11,26,36,7,25,32,8,12,3,15,18,86,107.9,102.1,65.4,-3.85625,0.651578
