game_id	season	game_date	team_name	team_id	team_abbreviation	opponent_id	opponent_name	opponent_abbrev	details	over_under	spread	provider_id	provider_name	away_team_odds_favorite	away_team_odds_underdog	away_team_odds_money_line	away_team_odds_spread_odds	away_team_odds_team_id	home_team_odds_favorite	home_team_odds_underdog	home_team_odds_money_line	home_team_odds_spread_odds	home_team_odds_team_id	team_short_display_name
401252483	2021	2020-12-12	Panthers	2229	FIU	2454	North Florida	UNF	FIU -7.5	157.5	7.5	1004	consensus	TRUE	FALSE	-336	-110	2229	FALSE	TRUE	259	-110	2454	Florida Int'l
401252508	2021	2021-01-30	Cyclones	66	ISU	344	Mississippi State	MSST	MSST -10.5	135.5	-10.5	1004	consensus	FALSE	TRUE	438	-107	66	TRUE	FALSE	-617	-113	344	Iowa State
401252509	2021	2021-02-03	Cyclones	66	ISU	277	West Virginia	WVU	WVU -11.5	145.5	11.5	1004	consensus	TRUE	FALSE	-703	-109	277	FALSE	TRUE	486	-111	66	Iowa State
401252510	2021	2021-02-06	Cyclones	66	ISU	201	Oklahoma	OU	OU -14.5	142.5	-14.5	1004	consensus	FALSE	TRUE	824	-111	66	TRUE	FALSE	-1463	-110	201	Iowa State
401252511	2021	2021-02-13	Cyclones	66	ISU	2305	Kansas	KU	KU -12.0	146.5	12	1004	consensus	TRUE	FALSE	-780	-109	2305	FALSE	TRUE	527	-111	66	Iowa State
401252512	2021	2021-02-16	Cyclones	66	ISU	197	Oklahoma State	OKST	OKST -11.0	148	-11	1004	consensus	FALSE	TRUE	494	-110	66	TRUE	FALSE	-715	-110	197	Iowa State
401252577	2021	2020-12-04	Vandals	70	IDHO	16	Sacramento State	SAC	SAC -9.0	134.5	-9	1004	consensus	FALSE	TRUE	361	-112	70	TRUE	FALSE	-490	-110	16	Idaho
401252578	2021	2020-12-22	Bengals	304	IDST	2458	Northern Colorado	UNCO	UNCO -10.0	136	-10	1004	consensus	FALSE	TRUE	430	-110	304	TRUE	FALSE	-600	-110	2458	Idaho State
401252579	2021	2020-12-04	Grizzlies	149	MONT	253	Southern Utah	SUU	MONT -2.0	137.5	2	1004	consensus	TRUE	FALSE	-135	-112	149	FALSE	TRUE	111	-109	253	Montana
401252580	2021	2020-12-19	Vikings	2502	PRST	2692	Weber State	WEB	WEB -1.0	150.5	1	1004	consensus	TRUE	FALSE	-113	-110	2692	FALSE	TRUE	-106	-111	2502	Portland State
401252581	2021	2020-12-19	Eagles	331	EWU	2464	Northern Arizona	"NAU"	EWU -10.0	143	10	1004	consensus	TRUE	FALSE	-618	-108	331	FALSE	TRUE	440	-112	2464	E Washington
401252582	2021	2020-12-05	Vandals	70	IDHO	16	Sacramento State	SAC	SAC -12.5	131	-12.5	1004	consensus	FALSE	TRUE	629	-113	70	TRUE	FALSE	-1029	-110	16	Idaho
401252583	2021	2020-12-23	Bengals	304	IDST	2458	Northern Colorado	UNCO	UNCO -9.0	133	-9	1004	consensus	FALSE	TRUE	361	-112	304	TRUE	FALSE	-475	-108	2458	Idaho State
401252584	2021	2020-12-05	Grizzlies	149	MONT	253	Southern Utah	SUU	MONT -3.0	133.5	3	1004	consensus	TRUE	FALSE	-153	-111	149	FALSE	TRUE	127	-110	253	Montana
401252585	2021	2020-12-20	Vikings	2502	PRST	2692	Weber State	WEB	WEB -4.5	157.5	4.5	1004	consensus	TRUE	FALSE	-198	-110	2692	FALSE	TRUE	166	-110	2502	Portland State
401252587	2021	2021-01-01	Vandals	70	IDHO	2464	Northern Arizona	"NAU"	"NAU -3.0"	134	3	1004	consensus	TRUE	FALSE	-151	-111	2464	FALSE	TRUE	127	-108	70	Idaho
401252589	2021	2021-01-04	Grizzlies	149	MONT	2458	Northern Colorado	UNCO	MONT -5.0	130	-5	1004	consensus	FALSE	TRUE	183	-110	2458	TRUE	FALSE	-224	-111	149	Montana
401252592	2021	2021-01-02	Vandals	70	IDHO	2464	Northern Arizona	"NAU"	"NAU -3.0"	136.5	3	1004	consensus	TRUE	FALSE	-160	-115	2464	FALSE	TRUE	135	-105	70	Idaho
401252594	2021	2021-01-03	Grizzlies	149	MONT	2458	Northern Colorado	UNCO	MONT -6.0	132	-6	1004	consensus	FALSE	TRUE	216	-110	2458	TRUE	FALSE	-269	-110	149	Montana
401252597	2021	2021-01-08	Vandals	70	IDHO	253	Southern Utah	SUU	SUU -14.5	142.5	-14.5	1004	consensus	FALSE	TRUE	806	-111	70	TRUE	FALSE	-1450	-108	253	Idaho
401252598	2021	2021-01-08	Bengals	304	IDST	2464	Northern Arizona	"NAU"	"NAU -3.0"	133.5	-3	1004	consensus	FALSE	TRUE	128	-113	304	TRUE	FALSE	-152	-108	2464	Idaho State
401252599	2021	2021-01-08	Bobcats	147	MTST	2458	Northern Colorado	UNCO	UNCO -3.5	137.5	-3.5	1004	consensus	FALSE	TRUE	146	-109	147	TRUE	FALSE	-173	-112	2458	Montana State
401252602	2021	2021-01-09	Vandals	70	IDHO	253	Southern Utah	SUU	SUU -14.0	146.5	-14	1004	consensus	FALSE	TRUE	816	-110	70	TRUE	FALSE	-1482	-110	253	Idaho
401252603	2021	2021-01-09	Bengals	304	IDST	2464	Northern Arizona	"NAU"	IDST -1.0	133	1	1004	consensus	TRUE	FALSE	-118	-110	304	FALSE	TRUE	-102	-110	2464	Idaho State
401252604	2021	2021-01-09	Bobcats	147	MTST	2458	Northern Colorado	UNCO	UNCO -3.0	137.5	-3	1004	consensus	FALSE	TRUE	132	-110	147	TRUE	FALSE	-156	-111	2458	Montana State
401252606	2021	2021-01-15	Eagles	331	EWU	253	Southern Utah	SUU	EWU -5.5	153.5	-5.5	1004	consensus	FALSE	TRUE	195	-111	253	TRUE	FALSE	-241	-109	331	E Washington
401252607	2021	2021-01-15	Vandals	70	IDHO	2458	Northern Colorado	UNCO	UNCO -7.0	137.5	7	1004	consensus	TRUE	FALSE	-324	-110	2458	FALSE	TRUE	254	-110	70	Idaho
401252609	2021	2021-01-15	Grizzlies	149	MONT	2464	Northern Arizona	"NAU"	MONT -12.5	128.5	-12.5	1004	consensus	FALSE	TRUE	554	-112	2464	TRUE	FALSE	-836	-108	149	Montana
401252610	2021	2021-01-15	Bobcats	147	MTST	2502	Portland State	PRST	MTST -6.5	150.5	-6.5	1004	consensus	FALSE	TRUE	229	-111	2502	TRUE	FALSE	-286	-108	147	Montana State
401252611	2021	2021-01-16	Eagles	331	EWU	253	Southern Utah	SUU	EWU -5.5	153	-5.5	1004	consensus	FALSE	TRUE	198	-110	253	TRUE	FALSE	-244	-110	331	E Washington
401252612	2021	2021-01-16	Vandals	70	IDHO	2458	Northern Colorado	UNCO	UNCO -8.5	138	8.5	1004	consensus	TRUE	FALSE	-436	-110	2458	FALSE	TRUE	332	-110	70	Idaho
401252614	2021	2021-01-16	Grizzlies	149	MONT	2464	Northern Arizona	"NAU"	MONT -12.5	129.5	-12.5	1004	consensus	FALSE	TRUE	615	-112	2464	TRUE	FALSE	-960	-108	149	Montana
401252615	2021	2021-01-16	Bobcats	147	MTST	2502	Portland State	PRST	MTST -6.5	147.5	-6.5	1004	consensus	FALSE	TRUE	238	-110	2502	TRUE	FALSE	-301	-110	147	Montana State
401252616	2021	2021-01-22	Eagles	331	EWU	2458	Northern Colorado	UNCO	EWU -2.5	144	2.5	1004	consensus	TRUE	FALSE	-146	-111	331	FALSE	TRUE	123	-110	2458	E Washington
401252617	2021	2021-01-22	Bengals	304	IDST	2502	Portland State	PRST	PRST -3.0	140	-3	1004	consensus	FALSE	TRUE	135	-108	304	TRUE	FALSE	-159	-112	2502	Idaho State
401252618	2021	2021-01-22	Grizzlies	149	MONT	16	Sacramento State	SAC	MONT -3.0	120.5	3	1004	consensus	TRUE	FALSE	-159	-112	149	FALSE	TRUE	134	-109	16	Montana
401252619	2021	2021-01-22	Bobcats	147	MTST	2464	Northern Arizona	"NAU"	MTST -6.0	134	6	1004	consensus	TRUE	FALSE	-266	-109	147	FALSE	TRUE	213	-112	2464	Montana State
401252620	2021	2021-01-22	Thunderbirds	253	SUU	2692	Weber State	WEB	WEB -2.5	153.5	-2.5	1004	consensus	FALSE	TRUE	125	-106	253	TRUE	FALSE	-149	-114	2692	Southern Utah
401252621	2021	2021-01-23	Eagles	331	EWU	2458	Northern Colorado	UNCO	EWU -4.5	149	4.5	1004	consensus	TRUE	FALSE	-201	-111	331	FALSE	TRUE	167	-110	2458	E Washington
401252622	2021	2021-01-23	Bengals	304	IDST	2502	Portland State	PRST	PRST -2.5	135	-2.5	1004	consensus	FALSE	TRUE	121	-111	304	TRUE	FALSE	-144	-110	2502	Idaho State
401252623	2021	2021-01-23	Grizzlies	149	MONT	16	Sacramento State	SAC	MONT -2.5	122.5	2.5	1004	consensus	TRUE	FALSE	-156	-113	149	FALSE	TRUE	132	-108	16	Montana
401252624	2021	2021-01-23	Bobcats	147	MTST	2464	Northern Arizona	"NAU"	MTST -5.0	133	5	1004	consensus	TRUE	FALSE	-227	-111	147	FALSE	TRUE	185	-110	2464	Montana State
401252625	2021	2021-01-23	Thunderbirds	253	SUU	2692	Weber State	WEB	WEB -1.5	154	1.5	1004	consensus	TRUE	FALSE	-121	-111	2692	FALSE	TRUE	101	-110	253	Southern Utah
401252627	2021	2021-01-29	Vandals	70	IDHO	2692	Weber State	WEB	WEB -11.5	145.5	11.5	1004	consensus	TRUE	FALSE	-788	-110	2692	FALSE	TRUE	527	-110	70	Idaho
401252631	2021	2021-01-30	Vandals	70	IDHO	2692	Weber State	WEB	WEB -13.0	144.5	13	1004	consensus	TRUE	FALSE	-1081	-110	2692	FALSE	TRUE	663	-111	70	Idaho
401252635	2021	2021-02-05	Eagles	331	EWU	70	Idaho	IDHO	EWU -15.5	148	15.5	1004	consensus	TRUE	FALSE	-1644	-111	331	FALSE	TRUE	887	-109	70	E Washington
401252636	2021	2021-02-05	Grizzlies	149	MONT	2502	Portland State	PRST	MONT -2.0	135.5	2	1004	consensus	TRUE	FALSE	-134	-110	149	FALSE	TRUE	112	-111	2502	Montana
401252637	2021	2021-02-05	Bobcats	147	MTST	2692	Weber State	WEB	WEB -6.0	143.5	-6	1004	consensus	FALSE	TRUE	204	-111	147	TRUE	FALSE	-253	-109	2692	Montana State
401252640	2021	2021-02-06	Eagles	331	EWU	70	Idaho	IDHO	EWU -20.0	148.5	-20	1004	consensus	FALSE	TRUE	1282	-110	70	TRUE	FALSE	-3224	-110	331	E Washington
401252641	2021	2021-02-06	Grizzlies	149	MONT	2502	Portland State	PRST	MONT -1.5	133.5	1.5	1004	consensus	TRUE	FALSE	-130	-113	149	FALSE	TRUE	108	-107	2502	Montana
401252642	2021	2021-02-06	Bobcats	147	MTST	2692	Weber State	WEB	WEB -6.5	146.5	-6.5	1004	consensus	FALSE	TRUE	237	-106	147	TRUE	FALSE	-296	-114	2692	Montana State
401252645	2021	2021-02-12	Eagles	331	EWU	147	Montana State	MTST	EWU -2.5	153.5	2.5	1004	consensus	TRUE	FALSE	-146	-111	331	FALSE	TRUE	123	-109	147	E Washington
401252646	2021	2021-02-12	Vandals	70	IDHO	304	Idaho State	IDST	IDST -8.5	129.5	-8.5	1004	consensus	FALSE	TRUE	319	-112	70	TRUE	FALSE	-414	-109	304	Idaho
401252647	2021	2021-02-12	Grizzlies	149	MONT	2692	Weber State	WEB	WEB -1.0	138.5	1	1004	consensus	TRUE	FALSE	-119	-112	2692	FALSE	TRUE	-101	-109	149	Montana
401252650	2021	2021-02-13	Eagles	331	EWU	147	Montana State	MTST	EWU -4.0	153.5	4	1004	consensus	TRUE	FALSE	-185	-110	331	FALSE	TRUE	154	-110	147	E Washington
401252651	2021	2021-02-13	Vandals	70	IDHO	304	Idaho State	IDST	IDST -10.0	129.5	-10	1004	consensus	FALSE	TRUE	416	-110	70	TRUE	FALSE	-570	-110	304	Idaho
401252652	2021	2021-02-13	Grizzlies	149	MONT	2692	Weber State	WEB	WEB -2.0	140.5	2	1004	consensus	TRUE	FALSE	-133	-110	2692	FALSE	TRUE	111	-110	149	Montana
401252655	2021	2021-02-19	Eagles	331	EWU	149	Montana	MONT	EWU -7.5	147	-7.5	1004	consensus	FALSE	TRUE	281	-107	149	TRUE	FALSE	-362	-114	331	E Washington
401252656	2021	2021-02-19	Vandals	70	IDHO	2502	Portland State	PRST	PRST -12.0	138.5	-12	1004	consensus	FALSE	TRUE	538	-110	70	TRUE	FALSE	-794	-110	2502	Idaho
401252658	2021	2021-02-19	Lumberjacks	2464	"NAU"	2692	Weber State	WEB	WEB -14.0	143.5	-14	1004	consensus	FALSE	TRUE	725	-110	2464	TRUE	FALSE	-1205	-110	2692	N Arizona
401252659	2021	2021-02-19	Hornets	16	SAC	253	Southern Utah	SUU	SUU -6.5	141.5	-6.5	1004	consensus	FALSE	TRUE	224	-112	16	TRUE	FALSE	-278	-109	253	Sacramento St
401252660	2021	2021-02-20	Eagles	331	EWU	149	Montana	MONT	EWU -4.0	150	4	1004	consensus	TRUE	FALSE	-189	-110	331	FALSE	TRUE	158	-110	149	E Washington
401252661	2021	2021-02-20	Vandals	70	IDHO	2502	Portland State	PRST	PRST -8.5	140.5	8.5	1004	consensus	TRUE	FALSE	-434	-115	2502	FALSE	TRUE	329	-106	70	Idaho
401252663	2021	2021-02-20	Lumberjacks	2464	"NAU"	2692	Weber State	WEB	WEB -13.5	143.5	-13.5	1004	consensus	FALSE	TRUE	760	-111	2464	TRUE	FALSE	-1293	-110	2692	N Arizona
401252664	2021	2021-02-20	Hornets	16	SAC	253	Southern Utah	SUU	SUU -7.5	141.5	-7.5	1004	consensus	FALSE	TRUE	274	-110	16	TRUE	FALSE	-353	-110	253	Sacramento St
401252665	2021	2021-02-27	Vandals	70	IDHO	147	Montana State	MTST	MTST -12.0	136.5	12	1004	consensus	TRUE	FALSE	-789	-110	147	FALSE	TRUE	534	-110	70	Idaho
401252666	2021	2021-02-26	Bengals	304	IDST	149	Montana	MONT	MONT -2.5	126	2.5	1004	consensus	TRUE	FALSE	-152	-111	149	FALSE	TRUE	128	-110	304	Idaho State
401252667	2021	2021-02-25	Lumberjacks	2464	"NAU"	253	Southern Utah	SUU	SUU -12.5	143	-12.5	1004	consensus	FALSE	TRUE	619	-110	2464	TRUE	FALSE	-958	-110	253	N Arizona
401252668	2021	2021-02-26	Vikings	2502	PRST	2458	Northern Colorado	UNCO	PRST -1.5	138.5	1.5	1004	consensus	TRUE	FALSE	-117	-106	2502	FALSE	TRUE	-104	-113	2458	Portland State
401252669	2021	2021-02-26	Hornets	16	SAC	2692	Weber State	WEB	WEB -6.5	143.5	6.5	1004	consensus	TRUE	FALSE	-294	-111	2692	FALSE	TRUE	234	-110	16	Sacramento St
401252670	2021	2021-02-28	Vandals	70	IDHO	147	Montana State	MTST	MTST -10.5	134.5	10.5	1004	consensus	TRUE	FALSE	-678	-115	147	FALSE	TRUE	476	-106	70	Idaho
401252671	2021	2021-02-27	Bengals	304	IDST	149	Montana	MONT	MONT -2.5	127	2.5	1004	consensus	TRUE	FALSE	-170	-106	149	FALSE	TRUE	243	-114	304	Idaho State
401252672	2021	2021-02-27	Lumberjacks	2464	"NAU"	253	Southern Utah	SUU	SUU -7.5	144	7.5	1004	consensus	TRUE	FALSE	-366	-114	253	FALSE	TRUE	284	-106	2464	N Arizona
401252673	2021	2021-02-27	Vikings	2502	PRST	2458	Northern Colorado	UNCO	UNCO -2.0	137	-2	1004	consensus	FALSE	TRUE	109	-110	2502	TRUE	FALSE	-131	-110	2458	Portland State
401252674	2021	2021-02-27	Hornets	16	SAC	2692	Weber State	WEB	WEB -6.5	143.5	6.5	1004	consensus	TRUE	FALSE	-292	-111	2692	FALSE	TRUE	233	-110	16	Sacramento St
401252675	2021	2021-03-04	Eagles	331	EWU	304	Idaho State	IDST	EWU -13.0	147.5	-13	1004	consensus	FALSE	TRUE	683	-110	304	TRUE	FALSE	-1118	-110	331	E Washington
401252677	2021	2021-03-05	Bobcats	147	MTST	16	Sacramento State	SAC	MTST -5.0	134	-5	1004	consensus	FALSE	TRUE	173	-113	16	TRUE	FALSE	-210	-108	147	Montana State
401252678	2021	2021-03-05	Bears	2458	UNCO	2692	Weber State	WEB	WEB -10.0	146.5	-10	1004	consensus	FALSE	TRUE	405	-110	2458	TRUE	FALSE	-550	-110	2692	N Colorado
401252679	2021	2021-03-05	Vikings	2502	PRST	253	Southern Utah	SUU	SUU -3.0	148.5	3	1004	consensus	TRUE	FALSE	-142	-110	253	FALSE	TRUE	120	-110	2502	Portland State
401252680	2021	2021-03-05	Eagles	331	EWU	304	Idaho State	IDST	EWU -12.5	145	-12.5	1004	consensus	FALSE	TRUE	576	-113	304	TRUE	FALSE	-852	-108	331	E Washington
401252682	2021	2021-03-06	Bobcats	147	MTST	16	Sacramento State	SAC	MTST -3.5	135.5	-3.5	1004	consensus	FALSE	TRUE	140	-111	16	TRUE	FALSE	-166	-109	147	Montana State
401252693	2021	2020-12-29	Anteaters	300	UCI	2540	UC Santa Barbara	UCSB	UCSB -1.5	133.5	1.5	1004	consensus	TRUE	FALSE	-126	-110	2540	FALSE	TRUE	105	-110	300	UC Irvine
401252694	2021	2021-01-02	Roadrunners	2934	CSUB	299	Long Beach State	LBSU	CSUB -5.0	141	5	1004	consensus	TRUE	FALSE	-222	-110	2934	FALSE	TRUE	181	-110	299	CSU Bakersfield
401252695	2021	2021-01-02	Titans	2239	CSUF	2540	UC Santa Barbara	UCSB	UCSB -16.5	138.5	-16.5	1004	consensus	FALSE	TRUE	1046	-113	2239	TRUE	FALSE	-2172	-108	2540	CSU Fullerton
401252699	2021	2021-01-03	Roadrunners	2934	CSUB	299	Long Beach State	LBSU	CSUB -5.5	141.5	5.5	1004	consensus	TRUE	FALSE	-226	-111	2934	FALSE	TRUE	185	-110	299	CSU Bakersfield
401252700	2021	2021-01-03	Titans	2239	CSUF	2540	UC Santa Barbara	UCSB	UCSB -15.5	139.5	-15.5	1004	consensus	FALSE	TRUE	964	-111	2239	TRUE	FALSE	-1878	-110	2540	CSU Fullerton
401252704	2021	2021-01-09	Mustangs	13	CP	2934	CSU Bakersfield	CSUB	CSUB -13.0	131.5	-13	1004	consensus	FALSE	TRUE	676	-112	13	TRUE	FALSE	-1093	-109	2934	Cal Poly
401252706	2021	2021-01-09	Titans	2239	CSUF	299	Long Beach State	LBSU	CSUF -1.0	153	-1	1004	consensus	FALSE	TRUE	-105	-110	299	TRUE	FALSE	-115	-110	2239	CSU Fullerton
401252708	2021	2021-01-09	Rainbow Warriors	62	HAW	27	UC Riverside	UCR	UCR -5.5	129.5	-5.5	1004	consensus	FALSE	TRUE	205	-109	62	TRUE	FALSE	-255	-111	27	Hawai'i
401252709	2021	2021-01-10	Mustangs	13	CP	2934	CSU Bakersfield	CSUB	CSUB -11.5	128.5	-11.5	1004	consensus	FALSE	TRUE	598	-110	13	TRUE	FALSE	-913	-110	2934	Cal Poly
401252711	2021	2021-01-10	Titans	2239	CSUF	299	Long Beach State	LBSU	CSUF -1.5	153.5	-1.5	1004	consensus	FALSE	TRUE	105	-109	299	TRUE	FALSE	-125	-110	2239	CSU Fullerton
401252713	2021	2021-01-10	Rainbow Warriors	62	HAW	27	UC Riverside	UCR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hawai'i
401252714	2021	2021-01-16	Roadrunners	2934	CSUB	62	Hawai'i	HAW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CSU Bakersfield
401252717	2021	2021-01-16	Mustangs	13	CP	27	UC Riverside	UCR	UCR -8.5	127.5	8.5	1004	consensus	TRUE	FALSE	-450	-113	27	FALSE	TRUE	340	-107	13	Cal Poly
401252719	2021	2021-01-17	Roadrunners	2934	CSUB	62	Hawai'i	HAW	HAW -3.0	136.5	-3	1004	consensus	FALSE	TRUE	134	-108	2934	TRUE	FALSE	-159	-112	62	CSU Bakersfield
401252722	2021	2021-01-17	Mustangs	13	CP	27	UC Riverside	UCR	UCR -10.0	130.5	10	1004	consensus	TRUE	FALSE	-559	-109	27	FALSE	TRUE	409	-111	13	Cal Poly
401252724	2021	2021-01-23	Mustangs	13	CP	300	UC Irvine	UCI	UCI -16.0	135.5	-16	1004	consensus	FALSE	TRUE	959	-110	13	TRUE	FALSE	-1890	-110	300	Cal Poly
401252725	2021	2021-01-23	Roadrunners	2934	CSUB	27	UC Riverside	UCR	UCR -3.5	125.5	-3.5	1004	consensus	FALSE	TRUE	147	-107	2934	TRUE	FALSE	-175	-113	27	CSU Bakersfield
401252727	2021	2021-01-23	Matadors	2463	CSUN	2540	UC Santa Barbara	UCSB	UCSB -9.5	145.5	9.5	1004	consensus	TRUE	FALSE	-487	-110	2540	FALSE	TRUE	364	-110	2463	CSU Northridge
401252728	2021	2021-01-23	Titans	2239	CSUF	62	Hawai'i	HAW	HAW -3.5	147.5	3.5	1004	consensus	TRUE	FALSE	-172	-111	62	FALSE	TRUE	144	-110	2239	CSU Fullerton
401252729	2021	2021-01-24	Mustangs	13	CP	300	UC Irvine	UCI	UCI -16.5	132	-16.5	1004	consensus	FALSE	TRUE	1007	-110	13	TRUE	FALSE	-1950	-110	300	Cal Poly
401252730	2021	2021-01-24	Roadrunners	2934	CSUB	27	UC Riverside	UCR	UCR -3.5	122.5	-3.5	1004	consensus	FALSE	TRUE	142	-110	2934	TRUE	FALSE	-168	-111	27	CSU Bakersfield
401252732	2021	2021-01-24	Matadors	2463	CSUN	2540	UC Santa Barbara	UCSB	UCSB -12.0	149.5	12	1004	consensus	TRUE	FALSE	-830	-107	2540	FALSE	TRUE	546	-112	2463	CSU Northridge
401252733	2021	2021-01-24	Titans	2239	CSUF	62	Hawai'i	HAW	HAW -2.5	146.5	2.5	1004	consensus	TRUE	FALSE	-149	-112	62	FALSE	TRUE	126	-109	2239	CSU Fullerton
401252734	2021	2021-01-30	Roadrunners	2934	CSUB	2239	CSU Fullerton	CSUF	CSUB -9.0	131.5	-9	1004	consensus	FALSE	TRUE	366	-108	2239	TRUE	FALSE	-492	-112	2934	CSU Bakersfield
401252738	2021	2021-01-30	Aggies	302	UCD	2540	UC Santa Barbara	UCSB	UCSB -7.5	145	7.5	1004	consensus	TRUE	FALSE	-367	-113	2540	FALSE	TRUE	287	-107	302	UC Davis
401252739	2021	2021-01-31	Roadrunners	2934	CSUB	2239	CSU Fullerton	CSUF	CSUB -9.5	136.5	-9.5	1004	consensus	FALSE	TRUE	354	-112	2239	TRUE	FALSE	-471	-109	2934	CSU Bakersfield
401252741	2021	2021-01-31	Rainbow Warriors	62	HAW	300	UC Irvine	UCI	UCI -3.0	137	3	1004	consensus	TRUE	FALSE	-164	-112	300	FALSE	TRUE	138	-109	62	Hawai'i
401252743	2021	2021-01-31	Aggies	302	UCD	2540	UC Santa Barbara	UCSB	UCSB -9.5	142.5	9.5	1004	consensus	TRUE	FALSE	-490	-110	2540	FALSE	TRUE	366	-110	302	UC Davis
401252744	2021	2021-02-06	Roadrunners	2934	CSUB	300	UC Irvine	UCI	UCI -6.0	127.5	-6	1004	consensus	FALSE	TRUE	214	-112	2934	TRUE	FALSE	-267	-109	300	CSU Bakersfield
401252746	2021	2021-02-06	Matadors	2463	CSUN	302	UC Davis	UCD	UCD -1.5	153.5	1.5	1004	consensus	TRUE	FALSE	-126	-111	302	FALSE	TRUE	105	-109	2463	CSU Northridge
401252749	2021	2021-02-07	Roadrunners	2934	CSUB	300	UC Irvine	UCI	UCI -7.0	125.5	-7	1004	consensus	FALSE	TRUE	251	-110	2934	TRUE	FALSE	-320	-110	300	CSU Bakersfield
