team,elo,aelo,gp,w,l,confw,confl,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16,game17,game18,game19,game20,game21,game22,game23,game24,game25,game26,game27,game28,game29,game30,game31,game32,game33,game34,game35,game36,game37,game38,game39,game40,game41,game42,game43,game44,game45,game46,game47,game48,game49,game50,game51,game52,game53,game54,game55,game56,game57,game58,game59,game60,game61,elo_2007,aelo_2007,elo_2008,aelo_2008,elo_2009,aelo_2009,elo_2010,aelo_2010,elo_2011,aelo_2011,elo_2012,aelo_2012,elo_2013,aelo_2013,elo_2014,aelo_2014,elo_2015,aelo_2015,elo_2016,aelo_2016,elo_2017,aelo_2017,elo_2018,aelo_2018,elo_2019,aelo_2019,elo_2020,aelo_2020,elo_2021,aelo_2021,W_2010,L_2010,ConfW_2010,ConfL_2010,W_2011,L_2011,ConfW_2011,ConfL_2011,W_2012,L_2012,ConfW_2012,ConfL_2012,W_2013,L_2013,ConfW_2013,ConfL_2013,W_2014,L_2014,ConfW_2014,ConfL_2014,W_2015,L_2015,ConfW_2015,ConfL_2015,W_2016,L_2016,ConfW_2016,ConfL_2016,W_2017,L_2017,ConfW_2017,ConfL_2017,W_2018,L_2018,ConfW_2018,ConfL_2018,W_2019,L_2019,ConfW_2019,ConfL_2019,W_2020,L_2020,ConfW_2020,ConfL_2020,W_2021,L_2021,ConfW_2021,ConfL_2021,W_2022,L_2022,ConfW_2022,ConfL_2022
Fort Wayne,1399.025,1500,0,0,0,0,0,1453.95,1442.95,1415.95,1433.95,1419.95,1413.95,1431.95,1477.95,1487.95,1447.95,1407.95,1397.95,1426.95,1395.95,1418.95,1394.95,1350.95,1329.95,1316.95,1337.95,1317.95,1329.95,1351.95,1342.95,1335.95,1319.95,1332.95,1318.95,1351.95,1316.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1500,NA,1500,NA,1500,NA,1500,NA,1500,NA,1510,NA,1479,NA,1468.5,NA,1316.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little Rock,1459.1211524453124,1500,0,0,0,0,0,1331.405809671875,1324.405809671875,1377.405809671875,1370.405809671875,1364.405809671875,1383.405809671875,1396.405809671875,1385.405809671875,1361.405809671875,1402.405809671875,1414.405809671875,1438.405809671875,1457.405809671875,1476.405809671875,1502.405809671875,1472.405809671875,1434.405809671875,1490.405809671875,1527.405809671875,1545.405809671875,1560.405809671875,1576.405809671875,1591.405809671875,1598.405809671875,1571.405809671875,1537.405809671875,1549.405809671875,1563.405809671875,1579.405809671875,1541.405809671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1529,NA,1514.5,1500,1515.95,NA,1512.3249999999998,NA,1510.9475,NA,1509.17125,NA,1507.869875,NA,1506.6863125000002,NA,1505.70411875,NA,1348.857953125,NA,1230.1402121874999,NA,1294.72749203125,NA,1541.405809671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Incarnate Word,1115.772125,1500,0,0,0,0,0,1126.58475,1120.58475,1106.58475,1077.58475,1058.58475,1051.58475,1044.58475,1035.58475,1031.58475,1025.58475,1007.58475,1036.58475,1025.58475,1023.58475,1010.58475,989.58475,1011.58475,1008.58475,1025.58475,1058.58475,1047.58475,1062.58475,1099.58475,1095.58475,1088.58475,1076.58475,1031.58475,1028.58475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1500,NA,1500,NA,1448,NA,1425,NA,1463.9,NA,1282.45,NA,1090.395,NA,1004.9324999999999,NA,1028.58475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IPFW,1537.3207797343748,1500,0,0,0,0,0,1486.6100625,1496.6100625,1515.6100625,1536.6100625,1544.6100625,1557.6100625,1498.6100625,1515.6100625,1506.6100625,1491.6100625,1506.6100625,1512.6100625,1534.6100625,1551.6100625,1575.6100625,1583.6100625,1560.6100625,1591.6100625,1611.6100625,1586.6100625,1604.6100625,1610.6100625,1630.6100625,1595.6100625,1603.6100625,1641.6100625,1652.6100625,1662.6100625,1633.6100625,1647.6100625,1635.6100625,1620.6100625,1547.46625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1433,1500,1468.5,NA,1450.15,NA,1292.625,NA,1463.3575,NA,1547.46625,NA,1492.7403749999999,NA,1620.6100625,NA,1558.12714375,NA,1565.246590625,NA,1550.0614384374999,NA,1544.6046964062498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian,1543.069625,1500,0,0,0,0,0,1463.16175,1437.16175,1414.16175,1401.16175,1391.16175,1409.16175,1437.16175,1466.16175,1461.16175,1503.16175,1464.16175,1476.16175,1492.16175,1473.16175,1479.16175,1463.16175,1466.16175,1433.16175,1467.16175,1472.16175,1496.16175,1505.16175,1512.16175,1537.16175,1548.16175,1529.16175,1532.16175,1564.9625,1595.9625,1589.9625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1500,NA,1500,NA,1154,NA,1121,NA,1228.7,NA,1236.65,NA,1293.935,NA,1589.9625,NA,1532.16175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas Little Rock,1566.7523766562497,1500,0,0,0,0,0,1477.571375,1506.571375,1543.571375,1547.571375,1570.571375,1613.571375,1621.571375,1632.571375,1609.571375,1625.571375,1634.571375,1653.571375,1656.571375,1662.571375,1633.571375,1641.571375,1673.571375,1679.571375,1693.571375,1696.571375,1703.571375,1672.571375,1697.571375,1712.571375,1729.571375,1744.571375,1747.571375,1749.571375,1701.571375,1718.571375,1751.571375,1773.571375,1745.571375,1475.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1616,1500,1267,NA,1475.3,NA,1445.75,NA,1431.465,NA,1422.4575,NA,1403.66825,NA,1745.571375,NA,1593.8861625,NA,1620.6144937499998,NA,1588.4730956249998,NA,1580.4208959374996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMass Lowell,1361.4631875,1500,0,0,0,0,0,1312.363125,1363.363125,1358.363125,1337.363125,1324.363125,1299.363125,1342.363125,1347.363125,1328.363125,1359.363125,1389.363125,1345.363125,1325.363125,1323.363125,1373.363125,1331.363125,1356.363125,1317.363125,1294.363125,1288.363125,1273.363125,1287.363125,1281.363125,1249.363125,1269.363125,1314.363125,1295.363125,1331.363125,1321.363125,1367.363125,1339.363125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1500,NA,1500,NA,1285,NA,1235.5,NA,1267.25,NA,1224.275,NA,1291.3125,NA,1305.93875,NA,1339.363125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Canyon,1466.2135624999999,1500,0,0,0,0,0,1522.7933749999997,1508.7933749999997,1519.7933749999997,1538.7933749999997,1515.7933749999997,1468.7933749999997,1496.7933749999997,1450.7933749999997,1467.7933749999997,1454.7933749999997,1428.7933749999997,1416.7933749999997,1451.7933749999997,1422.7933749999997,1403.7933749999997,1412.7933749999997,1432.7933749999997,1447.7933749999997,1416.7933749999997,1442.7933749999997,1433.7933749999997,1470.7933749999997,1482.7933749999997,1485.7933749999997,1458.7933749999997,1420.7933749999997,1407.7933749999997,1368.7933749999997,1380.7933749999997,1599.0562499999999,1629.0562499999999,1609.0562499999999,1586.0562499999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1500,NA,1500,NA,1377,NA,1380.5,NA,1609.35,NA,1614.8249999999998,NA,1569.2174999999997,NA,1586.0562499999999,NA,1380.7933749999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Kentucky,1613.0173499999996,1500,0,0,0,0,0,1586.0064999999997,1593.0064999999997,1597.0064999999997,1613.0064999999997,1590.0064999999997,1580.0064999999997,1615.0064999999997,1621.0064999999997,1640.0064999999997,1616.0064999999997,1622.0064999999997,1559.0064999999997,1512.0064999999997,1546.0064999999997,1573.0064999999997,1593.0064999999997,1610.0064999999997,1620.0064999999997,1589.0064999999997,1609.0064999999997,1622.0064999999997,1627.0064999999997,1634.0064999999997,1638.0064999999997,1562.0064999999997,1580.0064999999997,1592.0064999999997,1577.0064999999997,1603.0064999999997,1627.0064999999997,1643.0469999999998,1675.0469999999998,1665.0469999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1500,NA,1396,NA,1228,NA,1360.8,NA,1271.8,NA,1634.1399999999999,NA,1601.61,NA,1665.0469999999998,NA,1627.0064999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska Omaha,1455.5498125,1500,0,0,0,0,0,1460.511675,1481.511675,1446.511675,1429.511675,1466.511675,1479.511675,1496.511675,1490.511675,1463.511675,1416.511675,1408.511675,1428.511675,1404.511675,1435.511675,1456.511675,1473.511675,1497.511675,1462.511675,1403.511675,1412.511675,1425.511675,1417.511675,1394.511675,1382.511675,1369.511675,1383.511675,1399.511675,1414.511675,1421.511675,1407.511675,1369.511675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1500,NA,1500,1500,1500,NA,1500,NA,1198,NA,1304,NA,1409.4,NA,1390.9,NA,1468.27,NA,1547.405,NA,1276.1834999999999,NA,1569.31325,NA,1369.511675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
