team,elo,aelo,gp,w,l,confw,confl,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16,game17,game18,game19,game20,game21,game22,game23,game24,game25,game26,game27,game28,game29,game30,game31,game32,game33,game34,game35,game36,game37,game38,game39,game40,game41,game42,game43,game44,game45,game46,game47,game48,game49,game50,game51,game52,game53,game54,game55,game56,game57,game58,game59,game60,game61,elo_2007,aelo_2007,elo_2008,aelo_2008,elo_2009,aelo_2009,elo_2010,aelo_2010,elo_2011,aelo_2011,elo_2012,aelo_2012,elo_2013,aelo_2013,elo_2014,aelo_2014,elo_2015,aelo_2015,elo_2016,aelo_2016,elo_2017,aelo_2017,elo_2018,aelo_2018,elo_2019,aelo_2019,elo_2020,aelo_2020,elo_2021,aelo_2021,W_2010,L_2010,ConfW_2010,ConfL_2010,W_2011,L_2011,ConfW_2011,ConfL_2011,W_2012,L_2012,ConfW_2012,ConfL_2012,W_2013,L_2013,ConfW_2013,ConfL_2013,W_2014,L_2014,ConfW_2014,ConfL_2014,W_2015,L_2015,ConfW_2015,ConfL_2015,W_2016,L_2016,ConfW_2016,ConfL_2016,W_2017,L_2017,ConfW_2017,ConfL_2017,W_2018,L_2018,ConfW_2018,ConfL_2018,W_2019,L_2019,ConfW_2019,ConfL_2019,W_2020,L_2020,ConfW_2020,ConfL_2020,W_2021,L_2021,ConfW_2021,ConfL_2021,W_2022,L_2022,ConfW_2022,ConfL_2022
Campbell,1399.2444483515624,1500,0,0,0,0,0,1458.011677109375,1434.011677109375,1456.011677109375,1467.011677109375,1444.011677109375,1465.011677109375,1478.011677109375,1429.011677109375,1445.011677109375,1489.011677109375,1467.011677109375,1422.011677109375,1435.011677109375,1423.011677109375,1365.011677109375,1376.011677109375,1347.011677109375,1318.011677109375,1280.011677109375,1246.011677109375,1242.011677109375,1275.011677109375,1266.011677109375,1308.011677109375,1291.011677109375,1338.011677109375,1315.011677109375,1341.011677109375,1321.011677109375,1462.46203265625,1385.9355359375,1373.3142156249999,1416.3142156249999,1388.3142156249999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1245,NA,1444.5,1500,1501.75,NA,1247.225,NA,1322.1374999999998,NA,1231.23625,NA,1112.2593749999999,NA,1164.5005625,NA,1165.9280937499998,NA,1388.3142156249999,NA,1385.9355359375,NA,1462.46203265625,NA,1321.011677109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Colorado,1559.8634324687498,1500,0,0,0,0,0,1507.0548708124998,1513.0548708124998,1500.0548708124998,1491.0548708124998,1528.0548708124998,1497.0548708124998,1529.0548708124998,1541.0548708124998,1580.0548708124998,1553.0548708124998,1567.0548708124998,1591.0548708124998,1596.0548708124998,1614.0548708124998,1568.0548708124998,1583.0548708124998,1561.0548708124998,1567.0548708124998,1583.0548708124998,1608.0548708124998,1550.0548708124998,1586.0548708124998,1597.0548708124998,1602.0548708124998,1609.0548708124998,1614.0548708124998,1589.0548708124998,1627.0548708124998,1648.0548708124998,1452.7866568749996,1543.2051412499998,1564.2051412499998,1604.2051412499998,1628.2051412499998,1642.2051412499998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1412,NA,1412,1500,1606.6,NA,1619.8999999999999,NA,1318.9299999999998,NA,1421.435,NA,1319.3964999999998,NA,1346.1287499999999,NA,1216.8833249999998,NA,1272.2802874999998,NA,1642.2051412499998,NA,1452.7866568749996,NA,1648.0548708124998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Illinois,1514.9242061093746,1500,0,0,0,0,0,1440.9935906562498,1429.9935906562498,1439.9935906562498,1457.9935906562498,1472.9935906562498,1484.9935906562498,1528.9935906562498,1520.9935906562498,1479.9935906562498,1464.9935906562498,1473.9935906562498,1459.9935906562498,1475.9935906562498,1468.9935906562498,1484.9935906562498,1455.9935906562498,1447.9935906562498,1490.9935906562498,1504.9935906562498,1513.9935906562498,1533.9935906562498,1559.9935906562498,1575.9935906562498,1558.9935906562498,1523.9935906562498,1529.9935906562498,1546.9935906562498,1519.9935906562498,1556.9935906562498,1508.9935906562498,1554.7580359374997,1534.7580359374997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1232,NA,1255,1500,1290.1,NA,1230.55,NA,1139.3049999999998,NA,1077.8174999999999,NA,1405.7002499999999,NA,1443.1953749999998,NA,1468.3077624999999,NA,1379.1124937499997,NA,1342.0485756249998,NA,1534.7580359374997,NA,1508.9935906562498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Houston St.,1453.8552745078123,1500,0,0,0,0,0,1510.7741820468748,1491.7741820468748,1478.7741820468748,1508.7741820468748,1479.7741820468748,1500.7741820468748,1506.7741820468748,1518.7741820468748,1553.7741820468748,1570.7741820468748,1514.7741820468748,1522.7741820468748,1479.7741820468748,1503.7741820468748,1514.7741820468748,1533.7741820468748,1545.7741820468748,1521.7741820468748,1504.7741820468748,1480.7741820468748,1490.7741820468748,1508.7741820468748,1454.7741820468748,1457.7741820468748,1432.7741820468748,1390.7741820468748,1384.7741820468748,1576.22727828125,1551.22727828125,1538.22727828125,1526.2018096875,1502.2018096875,1512.788875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1581,NA,1570.5,1500,1727.55,NA,1578.9250000000002,NA,1361.7275,NA,1392.54125,NA,1512.788875,NA,1635.1568125000001,NA,1454.41506875,NA,1403.754578125,NA,1502.2018096875,NA,1538.22727828125,NA,1384.7741820468748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Force,1401.1307390390625,1500,0,0,0,0,0,1360.948085234375,1391.948085234375,1425.948085234375,1419.948085234375,1386.948085234375,1373.948085234375,1346.948085234375,1363.948085234375,1404.948085234375,1391.948085234375,1411.948085234375,1395.948085234375,1435.948085234375,1418.948085234375,1479.948085234375,1469.948085234375,1500.948085234375,1470.948085234375,1451.948085234375,1407.948085234375,1371.948085234375,1361.948085234375,1358.948085234375,1349.948085234375,1364.948085234375,1348.948085234375,1310.948085234375,1329.948085234375,1322.948085234375,1363.948085234375,1361.948085234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1515,NA,1318.5,1500,1317.75,NA,1517.425,NA,1431.0375000000001,NA,1581.7462500000001,NA,1369.184375,NA,1483.1160625,NA,1363.31334375,NA,1374.591490625,NA,1372.2897484375,NA,1400.52232140625,NA,1361.948085234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge,1409.9508313515626,1500,0,0,0,0,0,1298.0458791093752,1284.0458791093752,1257.0458791093752,1255.0458791093752,1242.0458791093752,1233.0458791093752,1230.0458791093752,1246.0458791093752,1288.0458791093752,1274.0458791093752,1257.0458791093752,1249.0458791093752,1240.0458791093752,1263.0458791093752,1298.0458791093752,1248.0458791093752,1301.0458791093752,1279.0458791093752,1331.0458791093752,1309.0458791093752,1356.0458791093752,1346.0458791093752,1357.0458791093752,1371.0458791093752,1347.0458791093752,1327.0458791093752,1358.0458791093752,1376.0458791093752,1402.0458791093752,1420.0458791093752,1347.0929726562501,1337.0929726562501,1333.0929726562501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1553,NA,1592.5,1500,1318.15,NA,1406.825,NA,1212.8575,NA,1351.4762500000002,NA,1414.595375,NA,1271.7405625000001,NA,1292.2488937500002,NA,1268.646615625,NA,1134.9979759375,NA,1333.0929726562501,NA,1420.0458791093752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Carolina,1384.6797487421875,1500,0,0,0,0,0,1362.842005453125,1346.842005453125,1328.842005453125,1312.842005453125,1366.842005453125,1339.842005453125,1317.842005453125,1294.842005453125,1252.842005453125,1301.842005453125,1311.842005453125,1335.842005453125,1349.842005453125,1347.842005453125,1374.842005453125,1405.842005453125,1383.842005453125,1378.842005453125,1371.842005453125,1416.842005453125,1411.842005453125,1395.842005453125,1382.842005453125,1427.842005453125,1417.842005453125,1413.842005453125,1408.842005453125,1438.842005453125,1426.842005453125,1407.842005453125,1391.842005453125,1505.3707218749998,1503.3707218749998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1369,NA,1337.5,1500,1302.45,NA,1555.475,NA,1519.4724999999999,NA,1728.3787499999999,NA,1419.031125,NA,1470.0291874999998,NA,1356.7239312499999,NA,1503.3707218749998,NA,1309.7025403124999,NA,1295.86248671875,NA,1391.842005453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Michigan,1454.5068467343751,1500,0,0,0,0,0,1557.8018664062502,1595.8018664062502,1604.8018664062502,1571.8018664062502,1587.8018664062502,1596.8018664062502,1613.8018664062502,1601.8018664062502,1555.8018664062502,1506.8018664062502,1482.8018664062502,1466.8018664062502,1430.8018664062502,1413.8018664062502,1405.8018664062502,1385.8018664062502,1411.8018664062502,1444.8018664062502,1441.8018664062502,1469.8018664062502,1492.8018664062502,1537.8018664062502,1514.8018664062502,1497.8018664062502,1508.8018664062502,1460.8018664062502,1432.8018664062502,1415.8018664062502,1653.1955906250002,1667.1955906250002,1628.1955906250002,1584.54625,1593.54625,1557.54625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1450,NA,1261,1500,1472.5,NA,1244.55,NA,1357.025,NA,1374.8775,NA,1557.54625,NA,1534.2363750000002,NA,1567.3820625000003,NA,1461.9619437500003,NA,1628.1955906250002,NA,1488.6863784375003,NA,1415.8018664062502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIU,1487.3021310937497,1500,0,0,0,0,0,1413.5706945625,1407.5706945625,1456.5706945625,1487.5706945625,1463.5706945625,1466.5706945625,1481.5706945625,1487.5706945625,1503.5706945625,1490.5706945625,1500.5706945625,1517.5706945625,1486.5706945625,1443.5706945625,1497.5706945625,1510.5706945625,1532.5706945625,1489.5706945625,1451.5706945625,1484.5706945625,1520.5706945625,1550.5706945625,1538.5706945625,1499.5706945625,1468.5706945625,1513.5706945625,1504.5706945625,1484.5706945625,1511.5706945625,1438.389279375,1397.4577499999998,1504.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1362,NA,1364,1500,1212.6,NA,1275.5,NA,1293.53,NA,1504.415,NA,1466.2665,NA,1397.4577499999998,NA,1336.6088249999998,NA,1242.5417374999997,NA,1331.2535162499998,NA,1438.389279375,NA,1511.5706945625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Atlantic,1472.4866580625,1500,0,0,0,0,0,1402.821444375,1391.821444375,1379.821444375,1401.821444375,1407.821444375,1389.821444375,1410.821444375,1429.821444375,1468.821444375,1459.821444375,1489.821444375,1501.821444375,1521.821444375,1490.821444375,1497.821444375,1477.821444375,1465.821444375,1440.821444375,1472.821444375,1512.821444375,1476.821444375,1446.821444375,1430.821444375,1417.821444375,1446.821444375,1471.821444375,1453.821444375,1432.821444375,1470.821444375,1456.91978625,1232.99575,1206,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1480,NA,1206,1500,1412,NA,1505.8,NA,1327.5,NA,1422.49,NA,1327.495,NA,1221.4945,NA,1232.99575,NA,1279.9462250000001,NA,1287.8718375,NA,1456.91978625,NA,1470.821444375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UC Santa Barbara,1523.9596032109373,1500,0,0,0,0,0,1534.469584265625,1514.469584265625,1500.469584265625,1485.469584265625,1506.469584265625,1517.469584265625,1536.469584265625,1562.469584265625,1550.469584265625,1562.469584265625,1567.469584265625,1585.469584265625,1607.469584265625,1614.469584265625,1580.469584265625,1550.469584265625,1498.469584265625,1504.469584265625,1457.469584265625,1487.469584265625,1517.469584265625,1537.469584265625,1497.469584265625,1521.469584265625,1544.469584265625,1558.469584265625,1539.469584265625,1543.469584265625,1545.469584265625,1504.08270359375,1635.93045625,1604.93045625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1603,NA,1521.5,1500,1624.65,NA,1581.775,NA,1619.2825,NA,1379.1737500000002,NA,1597.371625,NA,1601.4379374999999,NA,1604.93045625,NA,1247.896609375,NA,1581.4274415625,NA,1504.08270359375,NA,1545.469584265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Army,1393.7926760546875,1500,0,0,0,0,0,1319.922089328125,1285.922089328125,1332.922089328125,1297.922089328125,1312.922089328125,1343.922089328125,1301.922089328125,1284.922089328125,1352.922089328125,1313.922089328125,1305.922089328125,1295.922089328125,1267.922089328125,1250.922089328125,1288.922089328125,1297.922089328125,1363.922089328125,1406.922089328125,1437.922089328125,1444.922089328125,1410.922089328125,1386.922089328125,1427.922089328125,1444.922089328125,1424.922089328125,1444.922089328125,1448.922089328125,1433.922089328125,1403.922089328125,1314.1054379687498,1306.1054379687498,1378.97548125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1427,NA,1411.5,1500,1280.85,NA,1206.875,NA,1275.6924999999999,NA,1480.90875,NA,1425.162125,NA,1290.8536875,NA,1378.97548125,NA,1357.743846875,NA,1229.5645678125,NA,1306.1054379687498,NA,1403.922089328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Carolina,1454.488659609375,1500,0,0,0,0,0,1445.03983165625,1438.03983165625,1487.03983165625,1549.03983165625,1532.03983165625,1514.03983165625,1520.03983165625,1543.03983165625,1552.03983165625,1494.03983165625,1528.03983165625,1506.03983165625,1525.03983165625,1552.03983165625,1511.03983165625,1538.03983165625,1482.03983165625,1448.03983165625,1390.03983165625,1374.03983165625,1411.03983165625,1369.03983165625,1413.03983165625,1396.03983165625,1385.03983165625,1411.03983165625,1397.03983165625,1438.03983165625,1409.03983165625,1423.03983165625,1407.03983165625,1503.2291459374999,1510.6234937499999,1530.6234937499999,1558.6234937499999,1519.6234937499999,1490.6234937499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1346,NA,1277,1500,1571.3,NA,1633.75,NA,1422.2649999999999,NA,1335.2575,NA,1509.30825,NA,1512.231375,NA,1525.9081625000001,NA,1490.6234937499999,NA,1348.084195625,NA,1503.2291459374999,NA,1407.03983165625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia Southern,1594.516081078125,1500,0,0,0,0,0,1564.59850846875,1541.59850846875,1557.59850846875,1573.59850846875,1596.59850846875,1541.59850846875,1562.59850846875,1529.59850846875,1542.59850846875,1555.59850846875,1530.59850846875,1552.59850846875,1537.59850846875,1511.59850846875,1530.59850846875,1552.59850846875,1576.59850846875,1547.59850846875,1523.59850846875,1539.59850846875,1494.59850846875,1503.59850846875,1528.59850846875,1545.59850846875,1512.59850846875,1490.59850846875,1547.59850846875,1586.59850846875,1569.59850846875,1573.59850846875,1621.59850846875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1502,NA,1183,1500,1247.1,NA,1060.4499999999998,NA,1399.3549999999998,NA,1351.8124999999998,NA,1295.7127499999997,NA,1544.4001249999997,NA,1387.9138874999996,NA,1401.2769812499996,NA,1548.0126568749997,NA,1612.3894228124998,NA,1621.59850846875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville St.,1464.20714796875,1500,0,0,0,0,0,1563.1572918124998,1542.1572918124998,1531.1572918124998,1535.1572918124998,1509.1572918124998,1497.1572918124998,1455.1572918124998,1416.1572918124998,1459.1572918124998,1462.1572918124998,1456.1572918124998,1474.1572918124998,1490.1572918124998,1473.1572918124998,1449.1572918124998,1438.1572918124998,1449.1572918124998,1414.1572918124998,1433.1572918124998,1387.1572918124998,1368.1572918124998,1336.1572918124998,1370.1572918124998,1357.1572918124998,1351.1572918124998,1361.1572918124998,1374.1572918124998,1346.1572918124998,1356.1572918124998,1334.1572918124998,1657.095006875,1519.36596125,1541.36596125,1582.36596125,1535.36596125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1246,NA,1242,1500,1243.8,NA,1161.5,NA,1397.8899999999999,NA,1414.395,NA,1187.5645,NA,1257.10075,NA,1177.819725,NA,1548.0400875,NA,1535.36596125,NA,1657.095006875,NA,1334.1572918124998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana Monroe,1423.6591750078123,1500,0,0,0,0,0,1491.9007530468748,1481.9007530468748,1472.9007530468748,1478.9007530468748,1438.9007530468748,1421.9007530468748,1409.9007530468748,1389.9007530468748,1385.9007530468748,1412.9007530468748,1444.9007530468748,1417.9007530468748,1398.9007530468748,1386.9007530468748,1378.9007530468748,1342.9007530468748,1308.9007530468748,1294.9007530468748,1283.9007530468748,1274.9007530468748,1262.9007530468748,1288.9007530468748,1285.9007530468748,1338.9007530468748,1363.9007530468748,1349.9007530468748,1329.9007530468748,1472.02932828125,1503.02932828125,1523.02932828125,1562.02932828125,1531.02932828125,1562.02932828125,1529.02932828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1285,NA,1300.5,1500,1254.75,NA,1162.525,NA,1170.6875,NA,1113.10125,NA,1279.756875,NA,1512.8088125,NA,1607.3314687499999,NA,1313.5083781249998,NA,1417.9536296874999,NA,1529.02932828125,NA,1329.9007530468748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wagner,1249.462953515625,1500,0,0,0,0,0,1363.60192709375,1357.60192709375,1330.60192709375,1354.60192709375,1341.60192709375,1331.60192709375,1305.60192709375,1296.60192709375,1335.60192709375,1297.60192709375,1346.60192709375,1320.60192709375,1305.60192709375,1279.60192709375,1248.60192709375,1286.60192709375,1255.60192709375,1206.60192709375,1179.60192709375,1167.60192709375,1152.60192709375,1129.60192709375,1125.60192709375,1156.60192709375,1176.60192709375,1208.60192709375,1193.60192709375,1157.60192709375,1570.106479375,1517.106479375,1506.106479375,1549.0953375,1532.0953375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1604,NA,1473,1500,1116.7,NA,1318.25,NA,1607.135,NA,1512.0425,NA,1544.16175,NA,1299.693625,NA,1532.0953375,NA,1414.95575625,NA,1506.106479375,NA,1235.5399665625,NA,1157.60192709375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elon,1400.0351169453124,1500,0,0,0,0,0,1343.487676671875,1341.487676671875,1339.487676671875,1312.487676671875,1297.487676671875,1282.487676671875,1304.487676671875,1284.487676671875,1268.487676671875,1259.487676671875,1254.487676671875,1249.487676671875,1242.487676671875,1235.487676671875,1264.487676671875,1246.487676671875,1242.487676671875,1225.487676671875,1258.487676671875,1244.487676671875,1284.487676671875,1309.487676671875,1361.487676671875,1342.487676671875,1366.487676671875,1392.487676671875,1375.487676671875,1364.487676671875,1373.487676671875,1409.487676671875,1393.487676671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1487,NA,1328.5,1500,1310.35,NA,1372.725,NA,1358.4675,NA,1456.05125,NA,1470.565875,NA,1398.0983125,NA,1439.21891875,NA,1528.038953125,NA,1287.7851521875002,NA,1344.3042620312501,NA,1393.487676671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fairleigh Dickinson,1430.9850618984374,1500,0,0,0,0,0,1457.307496390625,1437.307496390625,1390.307496390625,1371.307496390625,1361.307496390625,1369.307496390625,1367.307496390625,1328.307496390625,1289.307496390625,1282.307496390625,1250.307496390625,1285.307496390625,1275.307496390625,1252.307496390625,1234.307496390625,1248.307496390625,1243.307496390625,1229.307496390625,1256.307496390625,1290.307496390625,1279.307496390625,1302.307496390625,1317.307496390625,1303.307496390625,1274.307496390625,1306.307496390625,1319.307496390625,1346.307496390625,1338.307496390625,1480.4377123437498,1516.4377123437498,1545.4377123437498,1539.4377123437498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1500,1259,NA,1159.5,1500,1263.45,NA,1077.575,NA,1012.8225,NA,1055.68375,NA,1211.688625,NA,1126.5494374999998,NA,1391.78130625,NA,1234.8554843749998,NA,1351.9621340625,NA,1539.4377123437498,NA,1338.307496390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
